,,,,,,,,Per Game,Per Game,Per Game,Per Game,,Advanced,Advanced
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
1,Atlanta Dream,Rhyne Howard,,Kentucky,4,136,,33.2,17.1,4.6,3.5,,14.5,.128
2,Indiana Fever,NaLyssa Smith,,Baylor,4,148,,25.8,11.3,7.1,1.1,,5.1,.053
3,Washington Mystics,Shakira Austin,,Ole Miss,4,105,,22.2,10.7,6.6,1.2,,5.2,.090
4,Indiana Fever,Emily Engstler,,Louisville,4,119,,14.3,4.6,3.9,1.4,,3.8,.088
5,New York Liberty,Nyara Sabally,,Oregon,3,76,,12.1,3.9,3.3,0.5,,3.5,.154
6,Indiana Fever,Lexie Hull,,Stanford,4,134,,21.0,5.5,3.0,1.2,,3.8,.053
7,Dallas Wings,Veronica Burton,,Northwestern,4,151,,18.5,5.4,2.4,3.2,,10.5,.151
8,Minnesota Lynx,Mya Hollingshed,,Colorado,0,,,,,,,,,
9,Los Angeles Sparks,Rae Burrell,,Tennessee,4,97,,15.1,5.6,1.8,1.0,,1.8,.050
10,Indiana Fever,Queen Egbo,,Baylor,3,78,,15.7,5.5,4.8,0.5,,1.1,.036
11,Las Vegas Aces,Kierstan Bell,,Florida Gulf Coast,4,98,,10.4,3.3,1.5,0.5,,0.5,.019
12,Connecticut Sun,Nia Clouden,,Michigan State,2,33,,9.2,2.0,0.8,0.9,,0.1,.020
13,Minnesota Lynx,Khayla Pointer,,LSU,1,10,,5.8,2.2,0.8,0.2,,-0.1,-.092
14,Washington Mystics,Christyn Williams,,UConn,1,4,,11.3,4.3,1.0,0.8,,0.0,-.004
15,Atlanta Dream,Naz Hillmon,,Michigan,4,158,,20.3,5.8,4.9,1.4,,10.2,.128
16,Los Angeles Sparks,Kianna Smith,,Louisville,1,11,,10.3,2.6,0.8,0.5,,-0.2,-.054
17,Seattle Storm,Elissa Cunane,,NC State,1,3,,3.3,0.7,1.7,0.0,,0.0,.012
18,Seattle Storm,Lorela Cubaj,,Georgia Tech,3,42,,7.8,1.0,1.7,0.5,,0.2,.019
19,Los Angeles Sparks,Olivia Nelson-Ododa,,UConn,4,143,,15.8,5.1,3.6,0.5,,6.0,.105
20,Indiana Fever,Destanni Henderson,,South Carolina,3,57,,15.7,4.8,1.4,2.3,,-0.6,-.027
21,Seattle Storm,Evina Westbrook,,UConn,2,38,,8.8,2.0,1.0,0.9,,-0.4,-.046
22,Minnesota Lynx,Kayla Jones,,NC State,0,,,,,,,,,
23,Las Vegas Aces,Aisha Sheppard,,Virginia Tech,1,23,,7.6,1.5,0.6,0.3,,-0.2,-.040
24,Connecticut Sun,Jordan Lewis,,Baylor,0,,,,,,,,,
25,Indiana Fever,Meshya Williams-Holliday,,Jackson State University,0,,,,,,,,,
26,Phoenix Mercury,Maya Dodson,,Notre Dame,0,,,,,,,,,
27,Los Angeles Sparks,Amy Atwell,,Hawaii,2,10,,9.1,1.8,0.8,0.8,,-0.2,-.095
28,Minnesota Lynx,Hannah Sjerven,,South Dakota,1,3,,3.0,0.0,0.0,0.0,,0.0,-.090
29,New York Liberty,Sika Koné,Mali,,3,66,,7.4,3.1,2.0,0.4,,1.1,.089
30,Dallas Wings,Jasmine Dickey,,University of Delaware,2,34,,5.3,1.5,0.7,0.1,,-0.4,-.095
31,Dallas Wings,Jazz Bond,,University of North Florida,0,,,,,,,,,
32,Phoenix Mercury,Macee Williams,,IUPUI,0,,,,,,,,,
33,Seattle Storm,Jade Melbourne,Australia,,3,109,,16.9,4.9,1.6,2.0,,0.1,.003
34,Indiana Fever,Ali Patberg,,Indiana,0,,,,,,,,,
35,Las Vegas Aces,Faustine Aifuwa,,LSU,0,,,,,,,,,
36,Connecticut Sun,Kiara Smith,,Florida,0,,,,,,,,,
