,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,22,4450,.442,13.1,,.763,.130,.311,.154,.168,.237,,.471,.621,.500,.363,.399,.350,,.472,.815,,.094,.343
2,Chicago Sky*,22,4400,.491,13.6,,.683,.137,.305,.121,.119,.317,,.557,.835,.517,.398,.497,.351,,.579,.898,,.118,.411
3,Connecticut Sun*,22,4425,.427,12.7,,.727,.145,.354,.101,.127,.273,,.470,.716,.437,.355,.371,.311,,.562,.838,,.100,.405
4,Dallas Wings,22,4450,.415,15.0,,.611,.100,.300,.096,.117,.389,,.474,.788,.487,.282,.324,.323,,.409,.811,,.105,.344
5,Indiana Fever,22,4400,.441,13.8,,.700,.126,.296,.133,.146,.300,,.482,.757,.479,.349,.374,.345,,.593,.842,,.102,.333
6,Los Angeles Sparks*,22,4450,.481,13.3,,.729,.148,.297,.117,.168,.271,,.511,.739,.508,.360,.421,.398,,.545,.887,,.160,.438
7,Las Vegas Aces*,22,4400,.477,11.7,,.833,.138,.376,.158,.161,.167,,.498,.764,.489,.339,.449,.368,,.595,.903,,.107,.407
8,Minnesota Lynx*,22,4400,.456,13.7,,.679,.138,.310,.125,.106,.321,,.490,.735,.464,.405,.346,.385,,.542,.929,,.089,.452
9,New York Liberty,22,4400,.372,14.8,,.585,.121,.305,.078,.081,.415,,.439,.669,.418,.310,.305,.277,,.499,.844,,.113,.191
10,Phoenix Mercury*,22,4425,.450,14.5,,.634,.113,.308,.089,.124,.366,,.512,.707,.504,.466,.388,.343,,.647,.746,,.104,.357
11,Seattle Storm*,22,4400,.470,13.2,,.685,.144,.329,.092,.119,.315,,.505,.744,.475,.394,.388,.394,,.610,.903,,.136,.531
12,Washington Mystics*,22,4450,.433,14.7,,.644,.102,.295,.121,.126,.356,,.483,.695,.490,.357,.416,.341,,.580,.885,,.121,.369
,League Average,22,4421,.446,13.7,,.690,.128,.316,.115,.130,.310,,.492,.732,.480,.364,.395,.345,,.555,.857,,.112,.379
