player,team,pos,g,mp,g_1,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Madina Okot,ATL,C,3,35,3,0,11.7,3.3,6.3,.526,0.0,1.0,.000,3.3,5.3,.625,0.7,1.0,.667,1.3,6.7,0.3,0.3,0.3,1.0,2.0,7.3
Lucy Olsen,WAS,G,2,15,2,0,7.5,1.0,2.5,.400,0.5,1.0,.500,0.5,1.5,.333,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.5,2.5
Te-Hina PaoPao,ATL,G,3,71,3,1,23.7,3.0,9.3,.321,1.3,5.3,.250,1.7,4.0,.417,1.7,2.0,.833,0.3,3.3,2.3,0.3,0.7,1.7,3.3,9.0
Cheyenne Parker-Tyus,LVA,F,5,56,5,0,11.2,1.6,3.0,.533,0.0,0.4,.000,1.6,2.6,.615,0.8,1.0,.800,0.8,2.4,0.6,0.4,1.2,0.8,1.2,4.0
Jihyun Park,LAS,G,2,9,2,0,4.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,1.5,1.0
Kelsey Plum,LAS,G,4,141,4,4,35.3,9.5,16.0,.594,2.5,6.0,.417,7.0,10.0,.700,5.3,6.8,.778,0.3,1.5,5.5,1.3,0.0,3.3,3.5,26.8
Cassandre Prosper,WAS,G,3,71,3,2,23.7,2.0,6.7,.300,0.0,2.0,.000,2.0,4.7,.429,0.0,0.0,,1.3,2.7,0.7,0.7,0.3,1.7,6.0,4.0
Nyadiew Puoch,PDX,F,3,70,3,3,23.3,2.3,5.7,.412,1.0,2.7,.375,1.3,3.0,.444,0.3,0.3,1.000,1.3,2.0,1.3,1.7,0.0,0.7,3.0,6.0
Angel Reese,ATL,F,3,95,3,3,31.7,3.0,9.0,.333,0.0,0.7,.000,3.0,8.3,.360,4.7,6.0,.778,7.0,12.7,2.3,1.0,1.7,5.3,3.7,10.7
Kiki Rice,TOR,G,4,94,4,1,23.5,3.5,6.8,.519,1.3,3.0,.417,2.3,3.8,.600,2.3,2.8,.818,0.8,2.5,1.5,0.0,0.0,0.3,3.0,10.5
Saniya Rivers,CON,G,4,104,4,3,26.0,2.5,9.3,.270,0.5,2.5,.200,2.0,6.8,.296,1.8,2.0,.875,0.0,1.8,5.0,0.5,0.8,2.3,2.0,7.3
Nyara Sabally,TOR,F,4,99,4,4,24.8,3.3,6.5,.500,0.0,1.0,.000,3.3,5.5,.591,2.8,3.8,.733,3.0,6.0,2.5,1.8,1.5,1.3,2.8,9.3
Janelle SalaÃ¼n,GSV,F,3,70,3,0,23.3,5.0,10.3,.484,3.3,6.7,.500,1.7,3.7,.455,2.3,3.3,.700,0.3,2.0,1.0,0.3,0.3,0.3,2.0,15.7
Jacy Sheldon,CHI,G,4,123,4,4,30.8,3.5,7.0,.500,1.3,3.3,.385,2.3,3.8,.600,2.5,2.5,1.000,0.3,3.0,3.3,2.0,1.0,1.0,3.0,10.8
Jessica Shepard,DAL,F,3,94,3,3,31.3,4.7,9.0,.519,0.0,0.3,.000,4.7,8.7,.538,1.3,2.3,.571,2.0,7.7,5.3,1.0,0.0,1.3,3.3,10.7
Maddy Siegrist,DAL,F,3,42,3,0,14.0,3.7,7.0,.524,0.3,2.3,.143,3.3,4.7,.714,1.0,1.0,1.000,0.0,3.3,0.7,0.0,0.3,0.0,1.7,8.7
Odyssey Sims,DAL,G,3,73,3,3,24.3,5.0,9.0,.556,1.3,2.7,.500,3.7,6.3,.579,1.3,1.7,.800,0.0,1.3,3.0,1.3,0.0,2.0,2.3,12.7
Kamiah Smalls,PDX,G,2,30,2,1,15.0,2.5,5.0,.500,2.0,3.5,.571,0.5,1.5,.333,0.5,0.5,1.000,0.0,0.0,3.0,0.0,0.0,2.0,1.0,7.5
Alanna Smith,DAL,F,3,73,3,3,24.3,2.0,6.7,.300,0.0,2.7,.000,2.0,4.0,.500,0.7,1.0,.667,1.7,4.3,3.3,1.3,1.0,2.3,3.0,4.7
NaLyssa Smith,LVA,F,5,92,5,5,18.4,3.8,5.4,.704,0.0,0.2,.000,3.8,5.2,.731,1.6,3.4,.471,1.8,5.4,1.2,0.4,1.0,0.8,3.6,9.2
Miela Sowah,GSV,G,1,3,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breanna Stewart,NYL,F,4,133,4,4,33.3,7.8,16.5,.470,0.5,3.5,.143,7.3,13.0,.558,7.0,7.5,.933,1.0,9.0,2.8,1.3,2.0,3.0,4.0,23.0
Kiah Stokes,GSV,C,3,66,3,3,22.0,2.0,5.0,.400,0.0,1.3,.000,2.0,3.7,.545,0.7,1.3,.500,1.0,6.0,1.7,0.7,2.7,0.0,4.0,4.7
