Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,Nebraska,Big Ten,FR,G,30,6,19.1,3.1,7.4,.422,1.1,3.0,.360,2.1,4.5,.463,.493,2.3,3.1,.734,0.8,1.8,2.6,1.5,0.7,0.1,1.0,1.6,9.6,
2019-20,Nebraska,Big Ten,SO,G,30,0,25.8,4.8,10.9,.436,1.0,3.0,.341,3.7,7.9,.473,.483,3.9,5.1,.763,0.9,2.5,3.4,2.1,0.5,0.1,1.7,1.9,14.4,
2020-21,Michigan,Big Ten,JR,G,18,18,33.5,6.3,12.1,.523,0.9,2.9,.308,5.4,9.2,.590,.560,4.6,6.1,.755,1.2,3.3,4.5,3.1,1.3,0.4,3.1,2.3,18.2,
2021-22,Michigan,Big Ten,SR,G,24,15,26.5,4.8,10.7,.444,0.8,2.6,.323,3.9,8.1,.482,.482,3.7,4.5,.822,0.6,2.6,3.2,3.4,1.5,0.4,2.4,1.8,14.0,
2022-23,Michigan,Big Ten,SR,G,30,28,31.9,6.0,11.6,.513,0.7,2.3,.290,5.3,9.3,.568,.542,4.9,6.4,.770,0.8,4.2,5.1,5.8,1.3,0.4,3.6,1.9,17.5,
Career,Career,Career,Career,,132,67,26.8,4.9,10.4,.468,0.9,2.8,.328,4.0,7.7,.519,.512,3.8,5.0,.769,0.8,2.9,3.7,3.2,1.0,0.3,2.3,1.9,14.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan (3 Yrs),Michigan (3 Yrs),Michigan (3 Yrs),Michigan (3 Yrs),,72,61,30.5,5.7,11.4,.494,0.8,2.5,.306,4.9,8.9,.548,.528,4.4,5.7,.779,0.8,3.5,4.3,4.3,1.3,0.4,3.1,2.0,16.5,
Nebraska (2 Yrs),Nebraska (2 Yrs),Nebraska (2 Yrs),Nebraska (2 Yrs),,60,6,22.5,4.0,9.2,.430,1.1,3.0,.350,2.9,6.2,.469,.487,3.1,4.1,.752,0.9,2.2,3.0,1.8,0.6,0.1,1.3,1.7,12.0,
