Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2021-22,Utah,Pac-12,FR,G,33,25,23.7,4.2,9.3,.446,1.7,4.4,.384,2.5,4.9,.503,.537,1.8,2.1,.871,0.9,3.4,4.4,1.2,0.7,0.4,1.1,1.9,11.8,
2022-23,Utah,Pac-12,SO,G,32,32,28.3,5.0,10.0,.498,2.2,5.3,.423,2.8,4.8,.582,.609,3.1,3.7,.831,0.7,4.5,5.2,2.1,0.9,0.5,1.6,2.4,15.3,
2023-24,Utah,Pac-12,JR,G,8,8,25.1,6.3,9.9,.633,3.4,6.3,.540,2.9,3.6,.793,.804,1.9,2.4,.789,0.9,4.6,5.5,3.9,2.0,0.3,2.3,1.6,17.8,
2024-25,Utah,Big 12,SR,G,31,31,30.1,6.2,12.3,.504,3.0,6.8,.448,3.2,5.5,.573,.627,3.9,4.4,.890,0.8,4.2,5.0,3.0,1.0,0.3,2.4,2.2,19.3,
2025-26,UCLA,Big Ten,SR,G,38,37,28.2,4.7,9.6,.493,2.3,5.3,.429,2.4,4.2,.575,.613,1.1,1.2,.933,0.7,2.4,3.1,2.9,1.1,0.2,1.2,1.8,12.8,
Career,Career,Career,Career,,142,133,27.4,5.1,10.2,.495,2.4,5.5,.431,2.7,4.7,.568,.610,2.4,2.7,.869,0.8,3.6,4.4,2.4,1.0,0.3,1.6,2.0,14.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA (1 Yr),UCLA (1 Yr),UCLA (1 Yr),UCLA (1 Yr),,38,37,28.2,4.7,9.6,.493,2.3,5.3,.429,2.4,4.2,.575,.613,1.1,1.2,.933,0.7,2.4,3.1,2.9,1.1,0.2,1.2,1.8,12.8,
Utah (4 Yrs),Utah (4 Yrs),Utah (4 Yrs),Utah (4 Yrs),,104,96,27.1,5.2,10.5,.495,2.4,5.5,.432,2.8,4.9,.566,.609,2.8,3.3,.860,0.8,4.1,4.9,2.2,0.9,0.4,1.7,2.1,15.6,
