,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,36,7250,.420,13.5,,.687,.220,.194,.136,.137,.313,,.452,.612,.392,.353,.376,.351,,.526,.849,,.182,.357
2,Chicago Sky*,36,7275,.481,12.3,,.691,.295,.192,.120,.085,.309,,.542,.681,.513,.427,.293,.345,,.694,.915,,.186,.443
3,Connecticut Sun*,36,7250,.462,11.8,,.739,.315,.180,.138,.105,.261,,.500,.620,.420,.434,.364,.354,,.606,.883,,.194,.437
4,Dallas Wings*,36,7225,.435,13.3,,.669,.233,.215,.117,.105,.331,,.480,.671,.370,.394,.377,.343,,.560,.839,,.141,.365
5,Indiana Fever,36,7250,.409,12.9,,.710,.254,.207,.112,.138,.290,,.437,.569,.393,.379,.308,.338,,.553,.898,,.178,.310
6,Los Angeles Sparks,36,7225,.446,13.0,,.747,.259,.222,.125,.142,.253,,.488,.697,.427,.387,.293,.320,,.560,.964,,.163,.303
7,Las Vegas Aces*,36,7225,.460,15.0,,.624,.180,.219,.130,.096,.376,,.520,.653,.490,.424,.467,.361,,.563,.834,,.198,.388
8,Minnesota Lynx,36,7250,.450,12.9,,.707,.234,.214,.132,.128,.293,,.493,.661,.440,.373,.396,.348,,.629,.870,,.160,.416
9,New York Liberty*,36,7275,.431,14.6,,.586,.197,.213,.100,.077,.414,,.488,.664,.400,.473,.299,.351,,.643,.868,,.152,.384
10,Phoenix Mercury*,36,7275,.429,14.1,,.599,.228,.210,.086,.075,.401,,.497,.648,.433,.383,.341,.329,,.586,.870,,.190,.322
11,Seattle Storm*,36,7225,.442,14.6,,.628,.184,.200,.125,.119,.372,,.490,.711,.438,.394,.336,.361,,.680,.886,,.180,.355
12,Washington Mystics*,36,7275,.439,13.6,,.663,.182,.268,.120,.093,.337,,.491,.719,.417,.394,.381,.338,,.617,.901,,.176,.378
,League Average,36,7251,.442,13.5,,.671,.232,.211,.120,.108,.329,,.489,.656,.428,.401,.353,.346,,.602,.878,,.175,.372
