Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2017-18,Oregon,Pac-12,FR,F,38,29,24.1,3.8,8.3,.461,1.4,3.8,.370,2.4,4.5,.538,.546,1.6,2.0,.787,1.0,2.9,3.8,1.8,1.0,0.7,2.0,2.2,10.7,
2018-19,Oregon,Pac-12,SO,F,38,38,30.4,6.1,12.0,.505,2.1,5.2,.411,3.9,6.8,.578,.595,2.4,3.3,.734,1.7,4.6,6.2,2.0,1.4,0.9,1.9,2.6,16.6,
2019-20,Oregon,Pac-12,JR,F,29,29,28.8,5.4,11.6,.464,1.6,4.6,.338,3.8,7.0,.547,.531,3.9,5.0,.792,2.5,4.4,6.9,2.3,1.0,0.4,2.2,2.2,16.2,AP-AA-2USBWA-AA-2WBCA-AA
Career,Career,Career,Career,,105,96,27.7,5.1,10.6,.480,1.7,4.5,.378,3.4,6.0,.557,.561,2.5,3.3,.770,1.6,3.9,5.6,2.0,1.2,0.7,2.0,2.4,14.4,
