Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,Maryland,Big Ten,FR,G,32,3,19.1,2.8,6.7,.409,0.7,2.3,.315,2.0,4.4,.458,.463,1.5,2.0,.734,1.2,2.0,3.2,1.8,0.9,0.6,1.6,2.0,7.7,
2020-21,Maryland,Big Ten,SO,G,29,29,27.5,6.1,12.1,.506,1.3,3.7,.355,4.8,8.4,.571,.560,3.7,4.7,.793,1.6,4.2,5.8,2.9,1.4,1.0,2.6,2.4,17.3,
2021-22,Maryland,Big Ten,JR,G,22,18,28.5,4.7,11.6,.408,1.1,3.6,.316,3.6,8.0,.449,.457,2.5,3.2,.786,0.9,3.1,4.0,2.8,1.4,0.9,3.0,2.5,13.1,
2022-23,Maryland,Big Ten,SR,G,34,34,28.8,6.6,13.9,.476,0.6,2.7,.220,6.0,11.2,.537,.497,5.9,7.4,.798,1.6,4.9,6.4,2.9,2.1,1.3,3.2,2.9,19.7,AP-AA-2USBWA-AA-2WBCA-AA
Career,Career,Career,Career,,117,84,25.7,5.1,11.1,.459,0.9,3.0,.303,4.2,8.1,.517,.500,3.5,4.5,.787,1.4,3.6,4.9,2.6,1.5,0.9,2.6,2.4,14.6,
