,,,,,,,,Per Game,Per Game,Per Game,Per Game,,Advanced,Advanced
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
1,Dallas Wings,Charli Collier,,Texas,2,45,,9.4,2.9,2.5,0.2,,0.5,.046
2,Dallas Wings,Awak Kuier,Finland,,3,86,,11.1,2.6,2.5,0.7,,1.0,.041
3,Atlanta Dream,Aari McDonald,,Arizona,5,136,,22.3,8.8,2.0,3.1,,5.0,.066
4,Indiana Fever,Kysre Gondrezick,,West Virginia,2,24,,7.9,1.7,0.9,0.8,,-0.6,-.126
5,Dallas Wings,Chelsea Dungee,,Arkansas,1,14,,4.6,0.6,0.2,0.1,,-0.3,-.159
6,New York Liberty,Michaela Onyenwere,,UCLA,5,182,,19.1,6.9,2.4,0.9,,0.0,-.001
7,Los Angeles Sparks,Jasmine Walker,,Alabama,2,34,,8.9,1.5,1.4,0.2,,-1.0,-.134
8,Chicago Sky,Shyla Heal,Australia,,1,4,,7.8,2.0,0.8,0.8,,-0.3,-.410
9,Minnesota Lynx,Rennia Davis,,Tennessee,1,8,,5.4,1.3,1.0,0.1,,-0.1,-.134
10,Los Angeles Sparks,Stephanie Watts,,UNC,1,6,,14.0,2.5,3.7,0.5,,-0.1,-.061
11,Seattle Storm,Aaliyah Wilson,,Texas A&M,1,14,,8.5,1.1,0.9,0.6,,-0.5,-.165
12,Las Vegas Aces,Iliana Rupert,France,,3,58,,14.9,5.1,2.7,1.0,,2.7,.123
13,Dallas Wings,Dana Evans,,Louisville,5,184,,16.1,6.3,1.0,2.1,,2.9,.039
14,Las Vegas Aces,Destiny Slocum,,Arkansas,2,24,,7.3,1.5,1.0,0.7,,0.1,.018
15,Atlanta Dream,Raquel Carrera Quintana,Spain,,0,,,,,,,,,
16,Chicago Sky,Natasha Mack,,Oklahoma State,3,78,,16.2,4.1,5.1,0.9,,5.5,.174
17,New York Liberty,DiDi Richards,,Baylor,3,64,,10.9,2.3,1.4,0.9,,0.1,.006
18,Seattle Storm,Kiana Williams,,Stanford,4,38,,5.7,1.7,0.5,0.6,,-0.1,-.015
19,Indiana Fever,Unique Thompson,,Auburn,0,,,,,,,,,
20,Connecticut Sun,DiJonai Carrington,,Baylor,5,162,,20.0,8.5,3.5,1.2,,6.1,.075
21,Connecticut Sun,Micaela Kelly,,Central Michigan University,0,,,,,,,,,
22,Los Angeles Sparks,Arella Guirantes,,Rutgers University,2,34,,9.9,2.7,1.1,0.5,,-0.5,-.059
23,Seattle Storm,N'dea Jones,,Texas A&M,0,,,,,,,,,
24,Indiana Fever,Trinity Baptiste,,Arizona,0,,,,,,,,,
25,New York Liberty,Valerie Higgins,,University of the Pacific,0,,,,,,,,,
26,Indiana Fever,Chelsey Perry,,University of Tennessee at Martin,1,6,,6.7,2.2,1.0,0.3,,-0.1,-.115
27,Atlanta Dream,Lindsey Pulliam,,Northwestern,0,,,,,,,,,
28,Los Angeles Sparks,Ivana Raca,,Wake Forest,0,,,,,,,,,
29,New York Liberty,Marine Fauthoux,France,,0,,,,,,,,,
30,Connecticut Sun,Aleah Goodman,,Oregon State,1,1,,3.0,0.0,0.0,1.0,,0.0,.206
31,Indiana Fever,Florencia Chagas,Argentina,,0,,,,,,,,,
32,Phoenix Mercury,Ciera Johnson,,Texas A&M,0,,,,,,,,,
33,Indiana Fever,Maya Caldwell,,Georgia,4,105,,16.0,4.8,2.1,1.3,,2.8,.068
34,Los Angeles Sparks,Aina Ayuso,Spain,,0,,,,,,,,,
35,Seattle Storm,Natalie Kucowski,,Lafayette College,0,,,,,,,,,
36,Las Vegas Aces,Kionna Jeter,,Towson University,0,,,,,,,,,
