Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,Tennessee,SEC,FR,G,31,22,26.4,4.1,10.4,.394,0.9,2.9,.300,3.2,7.5,.431,.436,1.0,1.7,.593,1.1,4.4,5.5,4.6,1.3,0.8,4.3,2.5,10.1,
2020-21,Tennessee,SEC,SO,G,25,13,26.9,3.3,9.5,.350,0.6,2.0,.280,2.8,7.5,.369,.380,1.4,1.9,.729,0.6,3.3,3.9,4.2,1.4,0.9,2.7,2.2,8.6,
2021-22,Tennessee,SEC,JR,G,23,23,29.4,6.0,16.0,.379,0.7,2.5,.276,5.3,13.4,.398,.401,3.4,5.0,.678,1.8,7.6,9.4,4.0,1.4,1.0,4.5,2.3,16.2,
2022-23,Tennessee,SEC,SR,G,35,33,27.0,6.3,14.3,.438,0.6,2.1,.278,5.7,12.3,.465,.458,2.4,3.3,.739,2.0,5.0,7.1,3.3,1.6,1.1,3.0,1.9,15.6,
Career,Career,Career,Career,,114,91,27.3,5.0,12.5,.398,0.7,2.4,.285,4.3,10.2,.425,.425,2.0,2.9,.693,1.4,5.0,6.4,4.0,1.4,1.0,3.6,2.2,12.7,
