Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,UConn,Big East,FR,G,25,17,28.0,4.3,9.4,.457,2.3,5.4,.430,2.0,4.0,.495,.581,1.2,1.4,.912,0.3,2.4,2.7,1.0,1.0,0.7,1.0,1.0,12.1,
2022-23,UConn,Big East,SO,G,15,10,28.2,5.9,13.0,.456,2.3,6.7,.340,3.7,6.3,.579,.544,1.0,1.1,.882,0.4,1.5,1.9,1.9,1.3,0.3,1.7,1.0,15.1,
2023-24,UConn,Big East,JR,G,2,2,30.5,4.0,12.5,.320,2.0,7.0,.286,2.0,5.5,.364,.400,1.0,1.0,1.000,1.0,1.5,2.5,2.5,1.0,0.0,1.5,2.5,11.0,
2024-25,UConn,Big East,SR,G,34,30,26.5,5.1,10.9,.474,2.3,5.3,.436,2.8,5.5,.511,.581,1.0,1.1,.917,0.6,1.4,2.0,1.8,1.4,0.3,1.0,1.1,13.6,
2025-26,UConn,Big East,SR,G,39,39,28.7,6.6,13.7,.481,3.0,6.7,.447,3.6,7.0,.515,.591,1.1,1.1,.955,0.7,1.8,2.6,3.1,2.5,0.5,1.5,0.8,17.3,AP-AA-1USBWA-AA-1W-AAWBCA-AA
Career,Career,Career,Career,,115,98,27.9,5.5,11.8,.469,2.5,6.0,.422,3.0,5.8,.517,.576,1.1,1.2,.925,0.6,1.8,2.3,2.1,1.7,0.4,1.3,1.0,14.7,
