Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2022-23,UCLA,Pac-12,FR,F,37,2,17.4,2.4,5.4,.455,0.5,1.4,.340,1.9,3.9,.497,.500,1.0,1.5,.632,1.3,2.2,3.5,0.6,0.9,0.1,0.9,1.8,6.3,
2023-24,UCLA,Pac-12,SO,F,34,6,25.2,3.8,7.9,.478,0.6,2.4,.259,3.2,5.6,.571,.517,1.8,2.6,.713,2.0,3.6,5.6,1.6,0.6,0.1,1.4,2.2,10.0,
2024-25,UCLA,Big Ten,JR,F,36,33,26.7,3.8,7.3,.523,0.9,2.5,.348,3.0,4.9,.611,.581,1.1,1.3,.826,2.1,3.2,5.3,2.2,0.6,0.1,0.9,1.9,9.6,
2025-26,UCLA,Big Ten,SR,F,38,38,30.4,4.9,9.1,.539,1.3,3.2,.390,3.6,5.8,.622,.609,2.4,2.8,.860,1.8,3.7,5.5,2.1,1.1,0.1,1.8,1.9,13.5,
Career,Career,Career,Career,,145,79,25.0,3.7,7.4,.504,0.8,2.4,.341,2.9,5.0,.581,.559,1.6,2.0,.768,1.8,3.2,5.0,1.6,0.8,0.1,1.3,1.9,9.9
