,,,,,,,,Per Game,Per Game,Per Game,Per Game,,Advanced,Advanced
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
1,New York Liberty,Sabrina Ionescu,,Oregon,6,181,,31.4,16.7,5.5,5.9,,20.7,.146
2,Dallas Wings,Satou Sabally,,Oregon,6,136,,28.8,15.9,6.7,3.3,,13.5,.138
3,Indiana Fever,Lauren Cox,,Baylor,3,41,,11.9,2.9,3.0,0.8,,0.6,.053
4,Atlanta Dream,Chennedy Carter,,Texas A&M,4,84,,23.1,14.6,2.5,2.8,,3.8,.078
5,Dallas Wings,Bella Alarie,,Princeton,2,53,,13.5,2.6,3.1,0.5,,1.4,.076
6,Minnesota Lynx,Mikiah Herbert Harrigan,,South Carolina,3,53,,10.8,3.3,1.8,0.3,,0.4,.027
7,Dallas Wings,Tyasha Harris,,South Carolina,6,172,,19.5,6.5,1.3,2.6,,6.3,.075
8,Chicago Sky,Ruthy Hebard,,Oregon,4,95,,13.0,4.5,3.2,0.5,,4.6,.149
9,New York Liberty,Megan Walker,,UConn,3,59,,12.6,3.9,1.3,0.6,,-1.2,-.066
10,Phoenix Mercury,Jocelyn Willoughby,,Virginia,3,62,,11.2,3.1,1.5,0.6,,0.3,.015
11,Seattle Storm,Kitija Laksa,Latvia,,1,33,,19.0,5.9,1.2,0.6,,0.6,.040
12,New York Liberty,Jazmine Jones,,Louisville,3,55,,16.8,6.9,2.7,1.4,,-0.3,-.015
13,New York Liberty,Kylee Shook,,Louisville,2,50,,17.1,5.0,3.5,1.0,,0.4,.020
14,Indiana Fever,Kathleen Doyle,,Iowa,1,18,,8.6,1.5,0.8,1.1,,-0.7,-.189
15,New York Liberty,Leaonna Odom,,Duke,2,40,,16.8,4.4,1.8,0.6,,1.1,.063
16,Minnesota Lynx,Crystal Dangerfield,,UConn,5,153,,22.1,7.5,2.0,2.7,,4.9,.059
17,Atlanta Dream,Brittany Brewer,,Texas Tech,1,5,,6.6,0.8,1.0,0.0,,0.1,.065
18,Phoenix Mercury,Te'a Cooper,,Baylor,2,51,,20.1,8.2,1.5,1.6,,0.3,.012
19,Seattle Storm,Joyner Holmes,,Texas,6,117,,8.9,2.7,2.0,0.7,,0.0,.002
20,Los Angeles Sparks,Beatrice Mompremier,,Miami (FL),3,74,,8.6,2.0,2.8,0.2,,1.2,.074
21,Dallas Wings,Luisa Geiselsöder,Germany,,1,28,,22.4,6.9,4.8,1.6,,0.8,.048
22,Los Angeles Sparks,Leonie Fiebich,Germany,,2,77,,24.4,7.6,3.3,1.7,,6.3,.134
23,Connecticut Sun,Kaila Charles,,Maryland,5,91,,16.7,5.2,3.2,1.0,,3.4,.089
24,Washington Mystics,Jaylyn Agnew,,Creighton,1,12,,5.9,1.3,0.4,0.3,,-0.2,-.093
25,Atlanta Dream,Mikayla Pivec,,Oregon State,0,,,,,,,,,
26,New York Liberty,Erica Ogwumike,,Rice University,0,,,,,,,,,
27,Atlanta Dream,Kobi Thornton,,Clemson,0,,,,,,,,,
28,Indiana Fever,Kamiah Smalls,,James Madison University,3,13,,10.5,2.4,1.0,1.5,,0.2,.058
29,Phoenix Mercury,Stella Johnson,,Rider University,2,15,,8.7,3.9,1.0,0.9,,0.5,.154
30,Chicago Sky,Japreece Dean,,UCLA,0,,,,,,,,,
31,Seattle Storm,Haley Gorecki,,Duke,1,3,,2.0,0.0,0.7,0.0,,-0.1,-.375
32,Chicago Sky,Kiah Gillespie,,Florida State,0,,,,,,,,,
33,Las Vegas Aces,Lauren Manis,,Holy Cross,0,,,,,,,,,
34,Los Angeles Sparks,Tynice Martin,,West Virginia,0,,,,,,,,,
35,Connecticut Sun,Juicy Landrum,,Baylor,0,,,,,,,,,
36,Washington Mystics,Sug Sutton,,Texas,4,124,,21.5,6.0,1.7,3.5,,-1.0,-.015
