Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2022-23,Stanford,Pac-12,FR,C,33,0,9.6,2.4,4.0,.602,0.0,0.0,,2.4,4.0,.602,.602,1.0,1.8,.567,1.3,2.2,3.5,0.5,0.2,0.9,0.5,0.3,5.9,
2023-24,UCLA,Pac-12,SO,C,29,27,27.2,6.3,9.9,.643,0.0,0.0,,6.3,9.9,.643,.643,2.2,3.6,.610,3.7,5.6,9.3,1.0,0.4,2.0,2.1,1.8,14.9,
2024-25,UCLA,Big Ten,JR,C,34,34,30.1,8.6,13.4,.648,0.0,0.0,,8.6,13.4,.648,.648,2.9,4.6,.620,4.0,5.5,9.5,2.7,0.9,2.9,2.7,1.7,20.2,AP-AA-1USBWA-AA-1W-AAWBCA-AA
2025-26,UCLA,Big Ten,SR,C,37,37,27.7,7.5,12.8,.582,0.0,0.1,.000,7.5,12.8,.585,.582,2.2,3.2,.686,3.5,5.3,8.8,3.2,1.0,2.1,2.2,1.7,17.1,AP-AA-1USBWA-AA-1W-AAWBCA-AA
Career,Career,Career,Career,,133,98,23.7,6.3,10.1,.619,0.0,0.0,.000,6.3,10.1,.620,.619,2.1,3.3,.628,3.1,4.6,7.8,1.9,0.7,2.0,1.9,1.4,14.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford (1 Yr),Stanford (1 Yr),Stanford (1 Yr),Stanford (1 Yr),,33,0,9.6,2.4,4.0,.602,0.0,0.0,,2.4,4.0,.602,.602,1.0,1.8,.567,1.3,2.2,3.5,0.5,0.2,0.9,0.5,0.3,5.9,
UCLA (3 Yrs),UCLA (3 Yrs),UCLA (3 Yrs),UCLA (3 Yrs),,100,98,28.4,7.5,12.1,.621,0.0,0.0,.000,7.5,12.1,.622,.621,2.4,3.8,.638,3.7,5.5,9.2,2.4,0.8,2.4,2.4,1.7,17.5,
