Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2016-17,Virginia,ACC,FR,G-F,33,33,29.9,3.3,8.7,.378,0.2,1.2,.205,3.1,7.5,.406,.392,3.0,4.0,.742,2.2,4.0,6.2,1.7,1.7,0.4,2.8,3.3,9.8,
2017-18,Virginia,ACC,SO,G-F,33,33,29.1,3.5,8.5,.404,0.8,1.7,.446,2.7,6.8,.394,.449,1.9,2.2,.851,1.7,3.7,5.4,1.0,1.3,0.2,2.0,2.8,9.6,
2018-19,Virginia,ACC,JR,G-F,31,31,33.9,5.1,13.0,.389,1.6,4.0,.398,3.5,9.1,.384,.449,3.1,3.7,.851,2.6,5.6,8.2,1.6,1.2,0.6,3.0,2.5,14.8,
2019-20,Virginia,ACC,SR,G-F,30,30,35.8,6.2,13.7,.451,1.2,3.0,.416,5.0,10.8,.461,.496,5.6,6.4,.870,1.7,6.0,7.7,2.0,1.3,0.6,3.4,2.7,19.2,
Career,Career,Career,Career,,127,127,32.1,4.5,10.9,.408,0.9,2.4,.388,3.5,8.5,.414,.451,3.3,4.0,.830,2.0,4.8,6.8,1.6,1.4,0.5,2.8,2.8,13.2,
