Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2015-16,UConn,AAC,FR,G,37,22,23.5,4.0,8.1,.493,2.1,5.4,.394,1.9,2.7,.690,.624,1.0,1.2,.837,0.5,2.8,3.4,2.2,1.0,0.2,1.2,1.2,11.0,
2016-17,UConn,AAC,SO,G,37,37,32.1,7.0,14.4,.486,3.2,7.6,.420,3.8,6.8,.560,.598,3.0,3.5,.840,0.6,3.2,3.9,3.2,1.5,0.3,1.9,1.4,20.2,AP-AA-1USBWA-AAW-AAWBCA-AA
2017-18,UConn,AAC,JR,G,32,32,29.7,6.1,11.5,.530,3.0,6.3,.475,3.1,5.2,.596,.660,2.2,2.7,.835,1.1,3.4,4.5,3.8,1.2,0.2,1.4,1.3,17.4,AP-AA-1USBWA-AA-1W-AAWBCA-AA
2018-19,UConn,AAC,SR,G,34,34,33.2,6.1,13.4,.453,2.6,7.0,.376,3.5,6.5,.536,.550,3.7,4.3,.876,1.6,4.7,6.3,3.9,1.2,0.6,1.7,1.6,18.5,AP-AA-3USBWA-AA-2WBCA-AA
Career,Career,Career,Career,,140,125,29.6,5.8,11.8,.488,2.7,6.6,.415,3.0,5.3,.579,.603,2.5,2.9,.851,0.9,3.5,4.5,3.3,1.2,0.3,1.5,1.4,16.7,
