Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Las Vegas Aces*,22,200.0,32.7,68.7,.477,4.2,11.5,.368,28.5,57.2,.498,19.0,23.4,.815,8.1,29.3,37.4,20.7,7.8,3.0,12.2,15.0,88.7
2,Seattle Storm*,22,200.0,31.9,67.8,.470,8.4,21.4,.394,23.5,46.4,.505,15.4,18.9,.817,7.6,26.8,34.4,21.9,10.0,4.0,13.2,16.5,87.5
3,Chicago Sky*,22,200.0,33.5,68.2,.491,7.6,21.6,.351,25.9,46.5,.557,12.1,14.9,.817,7.3,26.3,33.6,21.8,7.5,4.0,14.9,18.0,86.7
4,Phoenix Mercury*,22,201.1,30.2,67.0,.450,8.4,24.5,.343,21.8,42.5,.512,17.4,21.0,.825,7.5,26.5,34.0,20.4,6.8,5.6,14.0,19.7,86.1
5,Los Angeles Sparks*,22,202.3,32.2,67.0,.481,7.2,18.1,.398,25.0,48.8,.511,13.3,16.8,.792,6.4,25.0,31.4,20.0,9.0,3.0,13.9,18.3,84.9
6,Minnesota Lynx*,22,200.0,30.6,67.0,.456,8.3,21.5,.385,22.3,45.5,.490,15.0,18.3,.818,9.9,24.5,34.4,19.8,8.4,3.0,14.2,16.9,84.4
7,Dallas Wings,22,202.3,29.5,71.0,.415,8.9,27.6,.323,20.5,43.4,.474,15.6,19.1,.815,9.0,23.7,32.7,15.6,8.2,3.2,11.0,19.7,83.4
8,Indiana Fever,22,200.0,29.5,66.7,.441,6.9,20.0,.345,22.5,46.7,.482,15.9,19.4,.819,9.0,24.7,33.7,19.2,5.1,3.2,15.0,17.7,81.7
9,Atlanta Dream,22,202.3,31.4,71.0,.442,5.9,16.9,.350,25.5,54.2,.471,12.2,16.1,.758,9.0,25.8,34.9,16.9,6.9,3.3,14.4,18.5,81.0
10,Connecticut Sun*,22,201.1,29.7,69.5,.427,5.9,19.0,.311,23.8,50.5,.470,15.1,20.0,.755,10.0,25.5,35.5,18.3,9.2,3.1,13.3,18.8,80.4
11,Washington Mystics*,22,202.3,29.6,68.5,.433,8.3,24.4,.341,21.3,44.1,.483,12.4,15.0,.825,7.3,24.1,31.5,19.7,7.9,2.1,12.1,17.0,80.0
12,New York Liberty,22,200.0,24.5,66.0,.372,7.6,27.4,.277,17.0,38.6,.439,15.2,18.5,.823,8.0,27.8,35.8,14.9,6.3,4.3,16.8,19.1,71.9
,League Average,22,200.9,30.4,68.2,.446,7.3,21.2,.345,23.1,47.0,.492,14.9,18.4,.807,8.3,25.8,34.1,19.1,7.8,3.5,13.7,17.9,83.1
