Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2016-17,Louisville,ACC,FR,G,37,1,15.1,1.9,4.0,.466,0.0,0.1,.000,1.9,3.9,.476,.466,0.7,1.1,.659,0.9,1.8,2.6,1.0,0.7,0.1,1.2,1.8,4.5,
2017-18,Louisville,ACC,SO,G,39,39,26.8,3.5,6.7,.525,0.1,0.2,.222,3.5,6.5,.535,.529,1.8,2.5,.732,1.5,3.1,4.6,2.3,1.5,0.2,2.0,2.5,8.9,
2018-19,Louisville,ACC,JR,G,36,36,23.3,3.2,6.1,.520,0.2,0.7,.269,3.0,5.4,.554,.536,1.1,1.6,.644,1.4,3.2,4.6,2.5,1.1,0.5,1.6,2.5,7.6,
2019-20,Louisville,ACC,SR,G,32,31,29.5,5.7,10.5,.539,0.5,1.4,.378,5.1,9.1,.564,.564,2.2,2.9,.763,1.6,3.4,5.0,3.4,1.5,0.3,2.3,2.1,14.1,
Career,Career,Career,Career,,144,107,23.5,3.5,6.7,.520,0.2,0.6,.313,3.3,6.1,.539,.533,1.4,2.0,.714,1.3,2.8,4.2,2.3,1.2,0.3,1.7,2.2,8.6,
