player,team,pos,g,mp,g_1,mp_1,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,DUMMY,ows,dws,ws,ws_per_40
Sonia Citron,WAS,G,31,1042,31,1042,18.8,.614,.529,.358,.492,3.2,6.9,22.0,1.9,2.0,15.4,22.1,118,105,,2.8,2.0,4.8,.183
Alysha Clark,DAL,F,22,223,22,223,4.7,.527,.474,.684,.395,3.1,7.2,6.5,1.1,1.2,18.3,10.9,100,112,,0.0,0.2,0.2,.032
Caitlin Clark,IND,G,31,957,31,957,22.6,.605,.538,.498,.420,1.1,7.9,44.2,1.5,1.5,20.3,32.2,114,111,,3.0,1.0,4.0,.167
Natasha Cloud,CHI,G,34,975,34,975,13.7,.600,.532,.439,.407,1.0,6.7,26.7,2.0,1.0,20.1,16.6,111,110,,1.2,1.1,2.3,.095
Nia Coffey,MIN,F,36,840,36,840,14.1,.566,.563,.585,.107,4.7,11.6,10.7,2.0,4.5,10.4,12.5,119,104,,1.4,1.7,3.1,.148
Napheesa Collier,MIN,F,9,261,9,261,26.7,.629,.597,.290,.234,6.0,15.0,18.1,2.9,4.1,12.8,26.3,120,100,,0.9,0.7,1.6,.238
Maria Conde,TOR,F,32,868,32,868,9.7,.498,.465,.540,.151,4.5,10.5,14.7,0.9,0.5,14.5,17.3,101,120,,0.1,-0.2,-0.2,-0.008
Zia Cooke,SEA,G,37,546,37,546,9.3,.482,.416,.386,.341,3.6,6.3,10.2,1.0,0.0,12.3,26.2,94,115,,-0.6,0.2,-0.4,-0.031
Kahleah Copper,PHO,G-F,35,1152,35,1152,14.6,.550,.487,.370,.413,1.9,6.7,11.4,1.1,0.3,11.8,29.1,102,114,,0.2,0.6,0.9,.030
Aicha Coulibaly,CHI,G,24,329,24,329,12.5,.546,.431,.207,.575,4.5,10.7,6.5,2.8,1.0,12.8,16.5,107,107,,0.2,0.5,0.7,.091
Sophie Cunningham,IND,G,34,788,34,788,12.9,.681,.630,.681,.346,1.5,6.4,7.3,1.2,0.4,10.3,13.4,131,113,,2.1,0.6,2.7,.135
Damiris Dantas,IND,C-F,12,98,12,98,7.7,.556,.516,.625,.281,5.4,11.5,5.8,1.0,1.7,20.0,20.0,97,111,,0.0,0.1,0.1,.024
Antonia Delaere,MIN,G,35,415,35,415,10.1,.625,.608,.687,.072,2.0,3.7,12.2,1.9,0.0,14.1,10.5,124,111,,0.7,0.5,1.2,.114
Skylar Diggins,CHI,G,19,553,19,553,15.6,.515,.450,.306,.401,2.7,6.2,27.5,1.6,1.7,11.2,23.0,107,112,,0.6,0.5,1.1,.079
Stefanie Dolson,SEA,C,37,569,37,569,8.6,.616,.567,.539,.337,4.7,8.6,11.0,1.1,2.6,22.7,10.2,110,113,,0.4,0.4,0.9,.062
Angela DugaliÄ,WAS,F,29,310,29,310,10.8,.489,.459,.341,.271,7.6,15.4,11.5,2.0,2.2,19.5,17.0,94,101,,-0.3,0.8,0.5,.065
Aaliyah Edwards,CON,F,22,421,22,421,16.9,.592,.551,.064,.397,8.0,12.7,8.6,1.8,1.8,14.9,22.4,108,110,,0.4,0.5,0.9,.088
Emily Engstler,POR,F,35,837,35,837,15.3,.545,.521,.423,.215,6.0,14.0,14.3,3.0,5.6,17.8,18.9,102,107,,0.1,1.3,1.4,.067
Dana Evans,LVA,G,10,166,10,166,1.0,.322,.314,.471,.078,0.0,6.5,16.1,0.3,1.1,17.3,17.4,71,114,,-0.6,0.1,-0.5,-0.122
Temi Fagbenle,TOR,C,16,245,16,245,9.3,.520,.515,.200,.215,9.5,13.2,10.4,1.2,1.5,19.3,15.9,99,118,,0.0,0.0,-0.1,-0.008
Awa Fam,SEA,C,31,869,31,869,13.9,.565,.545,.471,.123,8.2,11.9,11.4,1.6,2.8,15.4,17.3,107,110,,0.7,1.0,1.6,.075
Mariella Fasoula,TOR,C,3,15,3,15,5.7,.400,.400,.000,.000,8.2,12.2,10.7,3.4,12.4,28.6,20.6,70,107,,-0.1,0.0,0.0,-0.122
Marine Fauthoux,NYL,G,15,219,15,219,8.5,.531,.490,.588,.412,3.5,9.7,21.4,0.7,0.0,26.8,16.8,98,113,,-0.1,0.2,0.1,.013
Sania Feagin,LAS,F,3,10,3,10,-0.9,.000,.000,.000,.000,0.0,6.0,25.1,0.0,0.0,0.0,4.4,90,119,,0.0,0.0,0.0,-0.025
Leonie Fiebich,NYL,F,14,408,14,408,11.6,.622,.578,.588,.235,5.1,5.4,9.6,2.1,0.2,18.2,15.1,113,112,,0.5,0.3,0.8,.083
Nadia Fingall,GSV,C,5,12,5,12,23.8,1.250,1.250,.500,.000,9.9,5.1,15.0,0.0,0.0,0.0,7.7,245,114,,0.1,0.0,0.1,.307
Alicia FlÃ³rez,WAS,G,25,335,25,335,6.8,.394,.376,.396,.297,3.7,7.0,27.6,2.3,0.9,20.3,19.1,86,105,,-0.7,0.6,-0.1,-0.009
Alex Fowler,NYL,F,2,31,2,31,1.1,.551,.500,.700,.200,0.0,0.0,5.0,1.6,0.0,21.6,20.0,89,114,,0.0,0.0,0.0,-0.042
Azzi Fudd,DAL,G,30,950,30,950,14.0,.558,.547,.456,.067,2.0,3.2,8.8,2.8,2.3,8.6,18.0,108,110,,0.9,1.1,2.0,.085
Rebekah Gardner,NYL,G,34,515,34,515,13.8,.567,.507,.281,.281,8.5,10.3,12.9,1.6,1.2,11.9,15.4,120,111,,1.1,0.5,1.6,.125
Luisa GeiselsÃ¶der,POR,C,21,348,21,348,5.8,.441,.410,.550,.150,3.6,9.9,11.7,1.0,2.2,15.1,16.2,90,115,,-0.4,0.1,-0.3,-0.031
Allisha Gray,ATL,G,34,1122,34,1122,17.8,.580,.524,.380,.411,2.4,6.0,13.0,1.9,1.2,8.6,23.6,118,108,,3.1,1.6,4.7,.166
Chelsea Gray,LVA,G,35,1164,35,1164,14.2,.566,.530,.477,.167,1.0,5.8,31.0,1.9,0.8,21.2,18.7,108,111,,1.2,1.2,2.4,.082
Chance Gray,LAS,G,31,323,31,323,6.7,.525,.480,.770,.243,3.3,6.9,12.5,0.6,0.0,19.6,13.8,99,119,,-0.1,0.0,-0.1,-0.011
Aubrey Griffin,NYL,G-F,4,8,4,8,3.1,1.000,1.000,.000,.000,0.0,7.6,0.0,0.0,0.0,50.0,11.2,72,115,,0.0,0.0,0.0,-0.062
Brittney Griner,CON,C,18,455,18,455,20.0,.561,.530,.022,.348,8.9,14.0,19.3,0.9,6.8,13.1,23.6,109,109,,0.6,0.6,1.2,.108
Megan Gustafson,POR,C,33,785,33,785,19.4,.635,.611,.377,.194,7.2,11.1,7.7,0.9,2.6,6.7,20.6,124,116,,2.5,0.3,2.8,.141
Bree Hall,IND,G,2,11,2,11,9.9,.500,.500,.200,.000,0.0,5.7,0.0,0.0,0.0,0.0,19.8,103,116,,0.0,0.0,0.0,.021
Dearica Hamby,LAS,F,34,1007,34,1007,19.8,.606,.573,.101,.431,8.3,14.9,14.1,2.6,1.3,13.4,21.3,115,111,,2.2,1.1,3.3,.132
EliÅ¡ka HamzovÃ¡,MIN,G,18,104,18,104,14.0,.558,.435,.261,.913,8.1,12.0,23.8,1.0,2.8,23.7,17.8,112,108,,0.2,0.2,0.3,.126
Rori Harmon,WAS,G,10,67,10,67,0.8,.425,.350,.500,.400,0.0,7.1,24.8,3.9,0.0,50.5,15.9,61,101,,-0.3,0.2,-0.2,-0.101
Isabelle Harrison,TOR,F,21,473,21,473,17.6,.565,.533,.223,.299,9.1,15.5,13.0,1.4,2.7,13.9,24.2,108,116,,0.5,0.2,0.7,.059
Jordan Harrison,POR,G,8,111,8,111,14.8,.551,.528,.278,.306,4.5,9.1,43.0,1.4,0.9,22.7,21.3,109,116,,0.2,0.0,0.2,.071
Tyasha Harris,IND,G,30,425,30,425,11.8,.576,.529,.548,.250,1.2,5.0,20.4,0.9,1.0,13.5,13.7,122,114,,0.9,0.3,1.2,.109
Tiffany Hayes,GSV,G,31,501,31,501,19.0,.588,.506,.320,.539,2.6,6.1,27.5,2.3,1.0,13.0,23.3,119,105,,1.6,1.0,2.5,.201
Natisha Hiedeman,SEA,G,36,1073,36,1073,16.5,.563,.520,.453,.238,1.0,5.2,28.9,1.8,0.4,14.0,23.4,109,113,,1.6,0.7,2.3,.086
Naz Hillmon,ATL,F,33,954,33,954,10.6,.576,.546,.513,.197,5.7,9.4,7.9,1.1,0.9,14.3,13.3,113,110,,1.0,1.2,2.2,.093
Myisha Hines-Allen,IND,F,30,418,30,418,9.9,.537,.511,.200,.242,4.7,13.6,14.6,1.9,2.4,25.0,14.6,99,107,,-0.1,0.6,0.5,.052
Emese Hof,MIN,C,3,21,3,21,1.2,.509,.500,.000,.333,11.5,14.1,13.2,0.0,0.0,36.8,22.6,79,111,,-0.1,0.0,-0.1,-0.109
Joyner Holmes,SEA,F,1,15,1,15,5.7,.250,.250,.250,.000,7.8,19.2,9.9,0.0,18.6,33.3,17.5,52,100,,-0.1,0.0,-0.1,-0.158
Mackenzie Holmes,SEA,F,23,236,23,236,15.1,.648,.619,.238,.357,10.9,16.8,8.6,2.8,2.4,17.1,10.9,124,106,,0.5,0.4,0.9,.151
Jordan Horston,SEA,F,32,566,32,566,9.7,.451,.419,.342,.217,6.0,11.9,11.5,2.7,2.5,17.3,16.5,90,107,,-0.7,0.9,0.1,.010
Natasha Howard,MIN,F,36,1049,36,1049,23.3,.621,.591,.037,.347,14.0,15.9,17.1,3.0,2.8,16.9,22.0,120,103,,3.4,2.3,5.7,.217
Rhyne Howard,ATL,G,33,1142,33,1142,19.1,.573,.525,.629,.264,2.5,6.7,17.5,3.3,2.6,7.6,20.4,122,104,,3.4,2.3,5.7,.199
Lexie Hull,IND,G,35,665,35,665,8.4,.550,.517,.536,.205,6.3,10.2,5.1,1.5,0.9,14.5,12.6,109,111,,0.5,0.6,1.1,.066
Sabrina Ionescu,NYL,G,23,703,23,703,16.0,.561,.503,.510,.281,3.5,7.9,24.7,1.2,0.6,15.9,24.8,109,113,,1.1,0.6,1.6,.094
Kiki Iriafen,WAS,F,31,871,31,871,19.2,.551,.517,.100,.441,12.8,19.4,12.0,1.3,1.2,11.5,24.2,111,102,,1.5,2.0,3.5,.160
Ashlon Jackson,CON,G,8,80,8,80,5.3,.336,.357,.786,.143,0.0,4.6,11.1,4.4,0.0,16.8,9.8,72,108,,-0.2,0.1,0.0,-0.020
Rickea Jackson,CHI,F,4,118,4,118,16.1,.517,.450,.350,.367,3.9,9.3,12.0,0.4,5.1,10.3,28.5,100,111,,0.0,0.1,0.1,.038
Aziaha James,DAL,G,34,392,34,392,16.2,.469,.417,.281,.328,5.9,12.4,16.5,3.2,2.0,9.5,27.6,100,105,,-0.1,0.7,0.6,.065
Gabriela Jaquez,CHI,G,31,593,31,593,10.1,.518,.458,.296,.324,4.4,9.3,7.3,1.9,0.1,13.9,17.3,99,111,,-0.2,0.6,0.5,.033
JustÄ JocytÄ,GSV,G-F,10,61,10,61,4.8,.454,.404,.538,.231,0.0,5.0,19.4,0.0,1.7,19.6,27.0,85,110,,-0.2,0.1,-0.1,-0.070
Marine Johannes,NYL,G,33,718,33,718,13.5,.596,.579,.794,.097,2.5,6.1,18.2,2.1,0.6,17.9,19.5,108,111,,0.7,0.7,1.4,.080
Flau'jae Johnson,SEA,G,35,990,35,990,13.6,.495,.438,.371,.305,4.1,9.9,18.3,2.4,2.5,15.3,24.9,96,109,,-0.8,1.3,0.6,.023
Raven Johnson,IND,G,32,352,32,352,8.5,.476,.458,.406,.094,6.3,10.5,16.4,1.4,0.7,19.7,17.0,97,112,,-0.2,0.3,0.2,.020
Brionna Jones,ATL,F,9,152,9,152,21.8,.604,.529,.115,.404,13.5,20.0,20.0,1.0,3.8,12.8,19.5,127,105,,0.6,0.3,0.9,.225
Jonquel Jones,NYL,C,35,1029,35,1029,20.9,.630,.585,.466,.350,9.6,19.5,16.1,1.2,3.3,15.5,21.0,120,106,,3.0,1.7,4.8,.186
Dorka JuhÃ¡sz,MIN,F,14,203,14,203,10.5,.475,.481,.698,.075,3.0,10.2,13.5,1.2,4.3,14.1,13.7,102,106,,0.0,0.4,0.4,.073
Laura JuÅ¡kaitÄ,TOR,F,33,805,33,805,12.6,.578,.532,.391,.308,5.2,9.8,10.6,2.6,0.9,17.3,19.1,105,117,,0.5,0.2,0.7,.033
Teonni Key,TOR,F,29,236,29,236,8.2,.461,.443,.318,.250,10.4,11.1,6.2,2.1,5.5,22.3,11.8,93,116,,-0.2,0.1,-0.1,-0.013
Liatu King,MIN,F,8,73,8,73,13.4,.588,.625,.375,.625,13.2,18.7,0.0,2.1,5.4,19.7,15.2,104,101,,0.0,0.2,0.2,.112
Gianna Kneepkens,CON,G,25,202,25,202,11.6,.549,.485,.508,.277,6.9,8.1,9.2,0.8,0.5,5.2,16.7,119,115,,0.4,0.1,0.5,.102
Sika KonÃ©,ATL,F,28,150,28,150,5.2,.411,.340,.520,.380,10.6,12.6,6.0,0.7,0.0,12.1,18.6,94,111,,-0.1,0.2,0.0,.006
Anastasiia Kosu,MIN,F,27,297,27,297,16.4,.559,.488,.037,.402,14.2,11.8,8.7,2.9,3.9,16.4,17.0,115,105,,0.6,0.6,1.1,.151
Awak Kuier,DAL,F,32,520,32,520,14.2,.580,.557,.404,.227,4.9,11.3,8.4,1.4,6.5,16.2,15.8,106,107,,0.3,0.9,1.2,.091
LeÃ¯la Lacan,CON,G,24,685,24,685,13.2,.507,.474,.324,.233,2.4,4.3,27.7,3.0,1.3,16.2,21.3,100,111,,-0.1,0.7,0.6,.038
Charlisse Leger-Walker,CON,G,33,764,33,764,7.8,.468,.431,.426,.213,1.2,5.5,23.4,1.9,0.6,20.3,17.0,91,113,,-0.9,0.6,-0.3,-0.015
Carla Leite,POR,G,32,815,32,815,19.5,.603,.498,.213,.619,3.1,5.5,42.1,1.2,0.2,20.9,29.0,113,119,,2.3,0.0,2.2,.110
Kyara Linskens,PHO,C,18,187,18,187,11.9,.440,.391,.436,.309,8.4,14.4,10.3,2.7,7.4,13.8,17.6,93,104,,-0.2,0.4,0.2,.040
Darianna Littlepage-Buggs,WAS,G-F,1,0,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
Jewell Loyd,LVA,G,34,917,34,917,8.3,.509,.476,.708,.176,2.1,5.1,7.4,2.0,0.5,10.6,14.9,101,112,,0.0,0.9,0.9,.038
Marina Mabrey,TOR,G,31,916,31,916,19.8,.604,.552,.548,.294,2.3,6.9,23.9,1.5,1.1,15.2,30.4,111,120,,1.9,-0.2,1.7,.073
Natasha Mack,PHO,F-C,28,620,28,620,19.7,.649,.623,.050,.283,13.1,18.5,10.3,1.6,4.8,12.7,15.0,126,107,,1.8,1.0,2.7,.176
Ezi Magbegor,SEA,F-C,11,210,11,210,13.0,.492,.460,.280,.160,2.8,12.6,16.1,1.7,6.2,13.0,19.3,98,106,,-0.1,0.4,0.3,.053
Taina Mair,SEA,G,6,25,6,25,-2.1,.322,.250,.300,.200,4.7,4.6,18.2,0.0,0.0,21.6,24.3,68,119,,-0.1,0.0,-0.1,-0.234
Dominique Malonga,SEA,C,28,736,28,736,21.9,.553,.516,.158,.288,11.2,19.7,13.5,1.8,5.3,15.0,30.5,102,104,,0.2,1.4,1.6,.090
Rayah Marshall,CON,C-F,2,10,2,10,-27.3,.085,.000,.000,.400,23.2,12.2,0.0,0.0,0.0,33.8,39.0,26,120,,-0.2,0.0,-0.2,-0.844
Kate Martin,LAS,G,15,104,15,104,9.3,.493,.470,.727,.242,3.4,8.1,7.1,1.4,1.8,5.2,16.2,104,115,,0.0,0.0,0.1,.030
Kayla McBride,MIN,G,36,1162,36,1162,20.0,.637,.586,.541,.282,2.3,5.9,9.5,2.7,0.8,8.5,21.2,127,107,,4.1,1.8,6.0,.205
Teaira McCowan,MIN,C,10,68,10,68,5.4,.429,.467,.000,.200,8.9,20.9,5.8,0.7,7.2,26.9,14.3,79,100,,-0.2,0.2,0.0,.008
Cotie McMahon,WAS,G,32,656,32,656,9.9,.482,.441,.349,.468,3.0,9.2,16.1,1.5,0.9,12.8,17.5,101,105,,0.0,1.2,1.2,.074
Jade Melbourne,SEA,G,36,896,36,896,12.4,.561,.496,.356,.448,1.8,4.7,25.7,1.8,0.8,17.8,17.8,109,114,,1.0,0.6,1.6,.070
Olivia Miles,MIN,G,34,1058,34,1058,22.9,.612,.555,.291,.337,2.5,8.9,30.8,2.0,2.0,16.2,27.2,118,106,,3.7,1.8,5.5,.207
Nikolina Milic,TOR,C,7,63,7,63,5.4,.506,.474,.105,.211,3.9,8.7,7.8,0.0,0.0,19.4,18.1,89,123,,-0.1,0.0,-0.1,-0.084
Diamond Miller,CON,F,33,748,33,748,8.4,.491,.426,.424,.309,2.0,7.0,10.6,1.7,0.9,12.7,21.2,95,112,,-0.6,0.6,0.0,.002
Kelsey Mitchell,IND,G,35,1155,35,1155,22.0,.628,.586,.382,.284,1.9,3.2,14.1,1.5,0.3,8.4,27.8,123,114,,4.7,0.6,5.4,.186
Tonie Morgan,LAS,G,2,23,2,23,14.7,.940,.875,.250,.750,5.2,2.6,45.7,0.0,0.0,42.9,17.7,126,123,,0.1,0.0,0.1,.131
Ndjakalenga Mwenentanda,GSV,G,5,13,5,13,0.9,.000,.000,1.000,.000,9.1,9.4,21.3,0.0,0.0,50.0,7.1,72,111,,0.0,0.0,0.0,-0.042
Olivia Nelson-Ododa,CON,C,29,620,29,620,19.1,.610,.572,.005,.588,9.0,17.3,14.6,1.9,3.7,15.7,19.8,114,107,,1.1,1.0,2.1,.139
Indya Nivar,ATL,G,20,61,20,61,7.9,.358,.444,.167,.722,7.5,17.0,17.5,4.1,3.1,14.4,19.1,80,98,,-0.2,0.2,0.0,-0.006
Jovana NogiÄ,PHO,G,16,323,16,323,13.5,.612,.555,.639,.319,2.6,3.2,14.2,1.6,0.0,14.5,22.3,109,115,,0.4,0.1,0.6,.069
Kia Nurse,TOR,G,32,387,32,387,10.5,.530,.465,.711,.289,2.2,5.0,10.9,1.0,0.0,6.5,17.6,113,123,,0.6,-0.2,0.3,.034
Aaliyah Nye,ATL,G-F,17,30,17,30,13.9,.533,.444,.667,.333,0.0,6.1,14.9,1.7,3.2,8.8,15.9,117,107,,0.1,0.0,0.1,.133
Teja Oblak,POR,G,26,347,26,347,10.7,.531,.515,.394,.131,5.1,7.6,38.3,2.6,0.3,31.3,27.2,90,115,,-0.8,0.2,-0.6,-0.073
Arike Ogunbowale,DAL,G,35,1042,35,1042,14.5,.530,.460,.427,.333,3.6,6.3,15.6,1.6,0.2,10.8,23.4,109,113,,1.3,0.8,2.1,.082
