player,team,pos,g,mp,g_1,mp_1,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,DUMMY,ows,dws,ws,ws_per_40
Azura Stevens,CHI,F-C,26,644,26,644,13.4,.489,.448,.360,.240,6.7,15.4,15.6,1.8,2.0,13.6,22.2,97,107,,-0.4,1.1,0.7,.044
Breanna Stewart,NYL,F,35,1158,35,1158,23.0,.568,.490,.199,.447,6.0,15.0,17.2,1.9,3.7,10.6,27.5,116,106,,3.3,2.0,5.3,.184
Kiah Stokes,GSV,C,32,720,32,720,12.4,.518,.517,.483,.129,5.6,14.6,8.5,1.6,8.3,11.5,8.9,113,98,,0.6,2.1,2.7,.148
Marta SuÃ¡rez,PHO,F,14,119,14,119,7.7,.551,.528,.333,.306,7.1,8.7,8.7,1.3,0.0,18.1,19.0,98,114,,-0.1,0.1,0.0,.006
Brittney Sykes,TOR,G,15,477,15,477,18.9,.550,.456,.259,.456,3.9,7.3,19.6,2.1,1.4,11.3,28.6,110,119,,0.9,0.0,0.9,.075
Stephanie Talbot,LVA,F,36,597,36,597,8.5,.511,.495,.586,.153,5.7,9.0,8.2,1.9,1.5,16.3,10.7,104,110,,0.1,0.7,0.8,.055
Sydney Taylor,CHI,G,28,578,28,578,17.9,.586,.549,.522,.239,2.2,4.4,15.7,1.7,1.0,10.7,29.5,107,113,,0.7,0.5,1.2,.081
Taylor Thierry,SEA,G-F,11,62,11,62,10.8,.505,.458,.583,.167,16.9,13.0,7.2,1.6,0.0,13.4,10.5,119,114,,0.1,0.0,0.1,.086
Alyssa Thomas,PHO,F,34,1155,34,1155,19.4,.565,.519,.008,.469,5.6,13.4,43.8,2.1,1.4,21.7,22.4,109,109,,1.8,1.5,3.3,.114
Kayla Thornton,GSV,F,33,821,33,821,12.2,.534,.490,.640,.198,6.8,12.3,5.0,1.5,1.0,8.7,16.2,112,104,,1.0,1.6,2.6,.126
Makayla Timpson,IND,F-C,34,608,34,608,13.4,.623,.605,.000,.368,11.0,15.2,3.9,1.5,3.6,16.4,11.4,120,108,,1.0,0.8,1.8,.121
Brianna Turner,LVA,F-C,33,430,33,430,6.7,.632,.622,.000,.044,5.4,10.3,2.5,1.1,3.8,29.3,6.8,100,110,,0.0,0.5,0.5,.048
Courtney Vandersloot,CHI,G,18,377,18,377,17.3,.551,.492,.331,.425,2.4,7.9,36.9,3.0,1.1,19.3,21.5,107,108,,0.4,0.6,0.9,.101
Hailey Van Lith,CON,G,14,205,14,205,13.5,.553,.521,.292,.153,1.1,4.1,22.5,2.2,1.4,14.5,19.2,106,112,,0.1,0.2,0.3,.063
Julie Vanloo,NYL,G,5,81,5,81,16.1,.773,.735,.824,.235,1.6,7.5,50.2,1.3,0.0,39.0,17.0,121,112,,0.3,0.1,0.3,.157
Costanza Verona,DAL,G,1,6,1,6,38.9,1.000,1.000,.000,.000,0.0,0.0,68.0,0.0,0.0,0.0,14.8,206,119,,0.1,0.0,0.1,.491
Maddy Westbeld,CHI,F,3,28,3,28,-1.7,.250,.250,.833,.000,8.1,8.2,9.8,0.0,0.0,14.3,10.8,74,116,,-0.1,0.0,-0.1,-0.078
Erica Wheeler,LAS,G,34,946,34,946,10.3,.496,.463,.508,.152,1.1,4.4,28.4,1.8,0.2,17.2,17.7,102,117,,0.2,0.2,0.4,.015
Sami Whitcomb,PHO,G,13,203,13,203,9.0,.474,.426,.820,.164,2.4,6.9,18.9,2.5,0.0,14.4,17.1,97,111,,-0.1,0.2,0.1,.019
Courtney Williams,MIN,G,36,1102,36,1102,16.1,.515,.497,.239,.098,3.4,9.8,20.6,1.9,1.0,11.1,22.8,108,107,,1.4,1.8,3.2,.115
Elizabeth Williams,CHI,C-F,35,596,35,596,11.9,.460,.457,.000,.470,8.4,12.1,13.6,1.5,4.2,13.5,16.6,97,109,,-0.3,0.8,0.5,.034
Gabby Williams,GSV,F,31,770,31,770,18.6,.522,.487,.386,.267,3.4,8.0,17.0,3.5,0.7,9.9,28.9,105,102,,0.6,1.8,2.4,.123
Peyton Williams,PHO,F,1,6,1,6,11.3,.000,.000,.000,.000,0.0,0.0,46.3,0.0,16.5,0.0,7.6,86,110,,0.0,0.0,0.0,.004
Serah Williams,POR,F,31,386,31,386,12.2,.597,.572,.022,.500,7.8,12.4,7.0,1.6,3.0,17.9,15.5,108,114,,0.3,0.3,0.6,.059
A'ja Wilson,LVA,C,33,1063,33,1063,31.9,.621,.552,.138,.447,7.1,17.8,17.8,2.3,5.7,10.6,33.0,120,102,,4.6,2.4,7.0,.264
Ally Wilson,WAS,G,4,58,4,58,3.5,.368,.333,.733,.200,10.7,7.2,8.1,0.0,1.7,10.9,14.1,92,111,,-0.1,0.1,0.0,.004
Holly Winterburn,POR,G,22,217,22,217,10.7,.475,.435,.449,.188,2.9,7.5,31.4,2.3,0.0,21.9,19.8,97,115,,-0.1,0.1,0.0,-0.006
Han Xu,NYL,C,36,494,36,494,17.9,.622,.601,.454,.160,6.5,11.0,8.7,1.3,4.0,8.9,17.3,123,109,,1.2,0.6,1.9,.153
Mai Yamamoto,LVA,G,6,74,6,74,18.9,.663,.609,.696,.261,0.0,1.6,17.8,3.4,0.0,7.2,16.9,134,110,,0.3,0.1,0.4,.198
Jackie Young,LVA,G,35,1140,35,1140,21.4,.612,.566,.421,.237,2.8,8.1,33.5,1.4,0.8,14.0,24.3,120,112,,3.9,1.1,5.0,.176
