,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream*,40,8050,.428,12.5,,.721,.223,.247,.150,.100,.279,,.464,.626,.388,.410,.370,.336,,.561,.887,,.166,.244
2,Chicago Sky*,40,8050,.442,13.6,,.681,.233,.179,.129,.140,.319,,.474,.626,.433,.369,.373,.372,,.581,.897,,.184,.460
3,Connecticut Sun*,40,8075,.445,12.2,,.706,.260,.256,.105,.084,.294,,.481,.638,.425,.354,.320,.360,,.619,.895,,.211,.399
4,Dallas Wings*,40,8025,.443,12.4,,.708,.231,.265,.124,.089,.292,,.494,.693,.412,.399,.355,.317,,.585,.789,,.127,.370
5,Indiana Fever,40,8075,.442,12.8,,.710,.273,.214,.105,.118,.290,,.484,.598,.453,.399,.351,.340,,.525,.848,,.196,.342
6,Los Angeles Sparks,40,8025,.425,12.3,,.708,.231,.276,.119,.082,.292,,.463,.671,.385,.333,.329,.333,,.603,.892,,.165,.419
7,Las Vegas Aces*,40,8000,.486,13.9,,.640,.128,.311,.119,.082,.360,,.549,.692,.549,.464,.454,.372,,.578,.825,,.247,.374
8,Minnesota Lynx*,40,8050,.435,13.1,,.692,.216,.235,.131,.110,.308,,.484,.656,.435,.371,.384,.325,,.594,.885,,.151,.373
9,New York Liberty*,40,8075,.460,14.5,,.576,.225,.187,.102,.062,.424,,.523,.703,.448,.375,.335,.374,,.667,.908,,.244,.383
10,Phoenix Mercury,40,8025,.444,13.5,,.677,.189,.260,.140,.088,.323,,.499,.683,.449,.437,.357,.328,,.601,.893,,.212,.349
11,Seattle Storm,40,8025,.410,13.9,,.644,.195,.242,.108,.098,.356,,.442,.658,.381,.320,.300,.351,,.559,.803,,.159,.403
12,Washington Mystics*,40,8025,.428,14.0,,.658,.177,.242,.129,.110,.342,,.476,.675,.425,.421,.336,.336,,.561,.945,,.180,.398
,League Average,40,8041,.441,13.2,,.677,.215,.243,.122,.097,.323,,.486,.657,.433,.390,.356,.347,,.586,.873,,.189,.378
