,,,,,,,,Per Game,Per Game,Per Game,Per Game,,Advanced,Advanced
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
1,Indiana Fever,Aliyah Boston,,South Carolina,3,124,,30.7,14.5,8.5,3.0,,17.7,.185
2,Minnesota Lynx,Diamond Miller,,Maryland,3,93,,15.9,6.5,2.2,1.3,,0.1,.002
3,Dallas Wings,Maddy Siegrist,,Villanova,3,92,,18.1,7.9,2.8,0.6,,4.3,.104
4,Washington Mystics,Stephanie Soares,,Iowa State,1,22,,8.0,1.1,2.1,0.5,,-0.3,-.072
5,Dallas Wings,Lou Lopez Sénéchal,,UConn,1,27,,4.6,0.9,0.4,0.4,,-0.3,-.109
6,Atlanta Dream,Haley Jones,,Stanford,3,108,,17.5,4.7,2.6,2.2,,-0.9,-.020
7,Indiana Fever,Grace Berger,,Indiana,3,66,,15.8,3.7,2.0,2.0,,0.0,.001
8,Atlanta Dream,Laeticia Amihere,,South Carolina,3,66,,9.3,3.5,2.6,0.5,,1.2,.078
9,Seattle Storm,Jordan Horston,,Tennessee,2,75,,22.4,6.9,4.7,1.7,,1.4,.034
10,Los Angeles Sparks,Zia Cooke,,South Carolina,3,94,,11.4,4.0,0.7,0.7,,-2.3,-.086
11,Dallas Wings,Abby Meyers,,Maryland,1,9,,4.0,1.4,0.4,0.0,,0.0,.027
12,Minnesota Lynx,Maia Hirsch,France,,0,,,,,,,,,
13,Indiana Fever,Taylor Mikesell,,Ohio State,1,6,,4.8,2.8,0.3,0.3,,0.2,.226
14,Los Angeles Sparks,Shaneice Swain,Australia,,0,,,,,,,,,
15,Atlanta Dream,Leigha Brown,,Michigan,1,25,,5.2,0.8,0.8,0.4,,-0.1,-.039
16,Minnesota Lynx,Dorka Juhász,,UConn,2,72,,20.4,5.4,5.2,1.9,,4.0,.110
17,Indiana Fever,LaDazhia Williams,,LSU,0,,,,,,,,,
18,Seattle Storm,Madi Williams,,Oklahoma,1,5,,9.2,2.0,1.0,0.2,,-0.3,-.253
19,Dallas Wings,Ashley Joens,,Iowa State,1,19,,6.7,2.1,0.6,0.1,,-0.1,-.037
20,Washington Mystics,Elena Tsineke,,South Florida,0,,,,,,,,,
21,Seattle Storm,Dulcy Fankam Mendjiadeu,,South Florida,2,41,,12.3,3.4,3.9,0.3,,0.9,.071
22,Connecticut Sun,Alexis Morris,,LSU,0,,,,,,,,,
23,Chicago Sky,Kayana Traylor,,Virginia Tech,1,8,,4.4,1.0,0.1,0.4,,-0.1,-.110
24,Minnesota Lynx,Brea Beal,,South Carolina,0,,,,,,,,,
25,Indiana Fever,Victaria Saxton,,South Carolina,2,24,,3.2,1.1,0.5,0.0,,-0.2,-.114
26,Los Angeles Sparks,Monika Czinano,,Iowa,0,,,,,,,,,
27,Phoenix Mercury,Destiny Harden,,Miami (FL),0,,,,,,,,,
28,Minnesota Lynx,Taylor Soule,,Virginia Tech,2,17,,3.3,0.5,0.5,0.2,,-0.3,-.192
29,Phoenix Mercury,Kadi Sissoko,,USC,1,40,,8.4,1.5,1.6,0.2,,-0.8,-.091
30,New York Liberty,Okako Adika,,USC,0,,,,,,,,,
31,Dallas Wings,Paige Robinson,,Illinois State,0,,,,,,,,,
32,Washington Mystics,Txell Alarcón,Spain,,0,,,,,,,,,
33,Seattle Storm,Jade Loville,,Arizona,0,,,,,,,,,
34,Connecticut Sun,Ashten Prechtel,,Stanford,0,,,,,,,,,
35,Chicago Sky,Kseniya Malashka,,Middle Tennessee,0,,,,,,,,,
36,Las Vegas Aces,Brittany Davis,,Alabama,0,,,,,,,,,
