Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2022-23,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas
2023-24,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas,Did not play - overseas
2024-25,Miss. St.,SEC,JR,F,34,34,22.6,5.0,7.7,.649,0.0,0.0,,5.0,7.7,.649,.649,1.3,2.1,.625,3.5,6.0,9.6,0.7,1.4,1.1,2.5,2.6,11.3,
2025-26,South Carolina,SEC,SR,F,39,36,23.3,5.5,9.5,.575,0.3,0.7,.448,5.2,8.8,.586,.593,1.5,2.2,.702,3.8,6.7,10.6,1.0,1.3,1.4,2.1,1.9,12.8,
Career,Career,Career,Career,,73,70,23.0,5.3,8.7,.606,0.2,0.4,.448,5.1,8.3,.613,.616,1.4,2.1,.667,3.7,6.4,10.1,0.9,1.3,1.3,2.3,2.2,12.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi State (1 Yr),Mississippi State (1 Yr),Mississippi State (1 Yr),Mississippi State (1 Yr),,34,34,22.6,5.0,7.7,.649,0.0,0.0,,5.0,7.7,.649,.649,1.3,2.1,.625,3.5,6.0,9.6,0.7,1.4,1.1,2.5,2.6,11.3,
South Carolina (1 Yr),South Carolina (1 Yr),South Carolina (1 Yr),South Carolina (1 Yr),,39,36,23.3,5.5,9.5,.575,0.3,0.7,.448,5.2,8.8,.586,.593,1.5,2.2,.702,3.8,6.7,10.6,1.0,1.3,1.4,2.1,1.9,12.8,
