,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream*,44,8825,.443,13.7,,.582,.249,.224,.068,.041,.418,,.520,.634,.448,.438,.352,.337,,.627,.893,,.163,.373
2,Chicago Sky,44,8800,.425,12.2,,.694,.265,.255,.092,.083,.306,,.467,.583,.396,.414,.375,.330,,.632,.874,,.173,.351
3,Connecticut Sun,44,8825,.412,13.3,,.696,.192,.256,.137,.112,.304,,.459,.636,.399,.375,.399,.302,,.588,.775,,.167,.360
4,Dallas Wings,44,8825,.423,13.0,,.698,.171,.300,.131,.095,.302,,.474,.649,.432,.410,.380,.304,,.603,.903,,.154,.363
5,Golden State Valkyries*,44,8825,.407,15.3,,.542,.115,.296,.070,.060,.458,,.476,.633,.465,.378,.347,.325,,.584,.897,,.224,.310
6,Indiana Fever*,44,8825,.456,12.9,,.651,.249,.258,.069,.076,.349,,.515,.638,.474,.397,.362,.346,,.590,.841,,.197,.361
7,Los Angeles Sparks,44,8875,.457,12.5,,.618,.258,.286,.048,.026,.382,,.531,.713,.412,.401,.273,.337,,.608,.850,,.224,.353
8,Las Vegas Aces*,44,8800,.439,14.7,,.617,.089,.303,.152,.074,.383,,.493,.655,.491,.416,.464,.351,,.561,.883,,.245,.362
9,Minnesota Lynx*,44,8825,.472,14.2,,.628,.198,.208,.109,.112,.372,,.527,.699,.489,.427,.395,.378,,.644,.917,,.166,.438
10,New York Liberty*,44,8800,.453,14.2,,.590,.161,.295,.078,.055,.410,,.522,.713,.468,.363,.472,.355,,.671,.876,,.197,.369
11,Phoenix Mercury*,44,8800,.433,14.2,,.597,.190,.251,.094,.062,.403,,.496,.646,.440,.408,.401,.340,,.612,.903,,.214,.402
12,Seattle Storm*,44,8850,.450,13.1,,.681,.179,.287,.130,.084,.319,,.501,.711,.449,.394,.397,.342,,.618,.895,,.195,.381
13,Washington Mystics,44,8825,.439,11.9,,.731,.222,.306,.123,.080,.269,,.480,.694,.400,.384,.338,.329,,.633,.903,,.224,.314
,League Average,44,8823,.439,13.5,,.640,.195,.271,.100,.074,.360,,.496,.660,.443,.401,.387,.338,,.614,.880,,.197,.363
