,,,,,,,,Per Game,Per Game,Per Game,Per Game,,Advanced,Advanced
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
1,Las Vegas Aces,Jackie Young,,Notre Dame,7,243,,30.0,14.0,4.1,4.2,,31.0,.170
2,New York Liberty,AD Durr,,Louisville,3,79,,15.7,6.6,1.2,1.1,,0.9,.027
3,Indiana Fever,Teaira McCowan,,Mississippi State,7,207,,22.6,10.7,8.1,1.0,,17.7,.152
4,Chicago Sky,Katie Lou Samuelson,,UConn,5,138,,20.1,5.9,2.5,1.4,,3.5,.050
5,Dallas Wings,Arike Ogunbowale,,Notre Dame,7,224,,34.2,19.9,3.2,4.0,,18.7,.097
6,Minnesota Lynx,Napheesa Collier,,UConn,7,193,,33.5,18.4,7.8,3.0,,33.6,.208
7,Los Angeles Sparks,Kalani Brown,,Baylor,6,139,,13.3,5.7,3.5,0.8,,6.1,.132
8,Phoenix Mercury,Alanna Smith,,Stanford,7,183,,20.9,7.3,4.6,1.9,,13.1,.137
9,Connecticut Sun,Kristine Anigwe,,California,5,77,,9.6,2.8,2.3,0.3,,0.7,.041
10,Washington Mystics,Kiara Leslie,,NC State,2,28,,17.9,4.6,2.8,0.8,,0.1,.007
11,Atlanta Dream,Brianna Turner,,Notre Dame,7,212,,22.5,4.1,5.7,1.3,,11.6,.097
12,Seattle Storm,Ezi Magbegor,Melbourne Boomers (Australia),,6,206,,25.3,9.7,6.0,1.7,,20.7,.159
13,Phoenix Mercury,Sophie Cunningham,,Missouri,7,212,,23.1,7.9,2.8,1.4,,11.0,.090
14,New York Liberty,Han Xu,Xinjiang Magic Deer (China),,3,58,,12.4,5.8,2.4,0.6,,1.7,.096
15,Chicago Sky,Chloe Jackson,,Baylor,1,8,,4.0,0.6,0.8,0.5,,-0.2,-.245
16,Minnesota Lynx,Jessica Shepard,,Notre Dame,5,125,,21.5,6.8,6.5,2.7,,9.6,.143
17,Dallas Wings,Megan Gustafson,,Iowa,7,171,,10.9,4.2,2.4,0.4,,4.6,.100
18,Minnesota Lynx,Natisha Hiedeman,,Marquette,7,234,,19.9,7.3,1.8,2.5,,13.8,.118
19,Los Angeles Sparks,Marina Mabrey,,Notre Dame,7,230,,26.0,12.5,3.5,3.2,,8.1,.054
20,Minnesota Lynx,Cierra Dillard,,Buffalo,0,,,,,,,,,
21,Connecticut Sun,Bridget Carleton,,Iowa State,7,219,,21.9,5.7,2.9,1.6,,12.1,.101
22,Dallas Wings,Kennedy Burke,,UCLA,6,166,,14.8,5.2,1.7,0.8,,4.6,.075
23,Atlanta Dream,Maite Cazorla,,Oregon,1,31,,15.4,3.0,0.7,1.6,,-0.2,-.014
24,Seattle Storm,Anriel Howard,,Mississippi State,1,3,,6.7,1.7,1.0,0.0,,0.0,-.028
25,Indiana Fever,Paris Kea,,UNC,2,22,,10.2,4.8,1.2,1.0,,-0.3,-.047
26,New York Liberty,Megan Huff,,Utah,1,7,,2.3,0.0,0.6,0.1,,-0.1,-.323
27,Chicago Sky,Maria Conde,Wisła Can-Pack Kraków (Poland),,0,,,,,,,,,
28,Indiana Fever,Caliya Robinson,,Georgia,0,,,,,,,,,
29,Dallas Wings,Morgan Bertsch,,UC-Davis,2,39,,12.8,3.7,1.6,0.5,,-0.5,-.041
30,Minnesota Lynx,Kenisha Bell,,Minnesota,1,3,,3.7,0.0,0.3,0.3,,0.0,-.162
31,Los Angeles Sparks,Ángela Salvadores,Ensino (Spain),,0,,,,,,,,,
32,Phoenix Mercury,Arica Carter,,Louisville,1,6,,4.0,0.3,0.0,0.2,,-0.1,-.229
33,Connecticut Sun,Regan Magarity,,Virginia Tech,0,,,,,,,,,
34,Washington Mystics,Sam Fuehring,,Louisville,0,,,,,,,,,
35,Atlanta Dream,Li Yueru,Guangdong Vermilion Birds (China),,3,85,,13.5,4.8,3.6,0.6,,2.1,.072
36,Seattle Storm,Macy Miller,,South Dakota State,0,,,,,,,,,
