Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,Michigan,Big Ten,FR,F,34,0,23.3,5.4,8.6,.628,0.0,0.0,,5.4,8.6,.628,.628,2.3,3.7,.632,3.6,3.4,7.0,1.1,1.0,0.2,2.0,2.4,13.1,
2019-20,Michigan,Big Ten,SO,F,32,32,33.3,6.9,12.2,.567,0.0,0.0,.000,6.9,12.2,.568,.567,3.6,5.6,.644,4.3,4.4,8.7,2.4,0.8,0.3,3.2,2.2,17.4,
2020-21,Michigan,Big Ten,JR,F,22,22,33.8,9.0,14.4,.623,0.0,0.0,,9.0,14.4,.623,.623,6.0,8.0,.754,4.8,6.6,11.4,1.3,0.6,0.5,2.6,2.5,23.9,AP-AA-2USBWA-AA-1WBCA-AA
2021-22,Michigan,Big Ten,SR,F,31,30,33.5,7.9,13.8,.573,0.0,0.2,.000,7.9,13.7,.580,.573,5.2,7.0,.737,4.5,5.1,9.6,2.1,1.2,0.5,3.4,2.4,21.0,AP-AA-1USBWA-AA-1W-AAWBCA-AA
Career,Career,Career,Career,,119,84,30.6,7.1,12.0,.594,0.0,0.1,.000,7.1,11.9,.596,.594,4.1,5.9,.699,4.3,4.7,8.9,1.7,0.9,0.4,2.8,2.4,18.3,
