Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,Georgia,SEC,FR,G,24,0,16.7,1.8,5.5,.333,0.6,2.3,.278,1.2,3.3,.372,.390,0.8,1.4,.588,1.2,1.5,2.7,1.2,0.8,0.2,1.5,1.5,5.1,
2021-22,Georgia,SEC,SO,G,31,31,25.3,2.9,8.1,.359,1.1,3.7,.307,1.8,4.4,.401,.428,0.8,1.1,.727,1.1,2.9,4.0,2.4,1.3,0.4,2.1,2.1,7.7,
2022-23,Alabama,SEC,JR,G,31,28,23.4,2.6,6.8,.382,0.5,1.9,.293,2.1,5.0,.416,.422,1.1,1.7,.648,1.4,3.5,4.8,2.3,1.5,0.6,2.3,2.7,6.9,
2023-24,Alabama,SEC,JR,G,33,33,30.0,6.5,13.2,.491,1.3,3.6,.353,5.2,9.6,.543,.539,2.6,3.7,.711,1.8,4.5,6.3,2.9,1.9,0.5,3.1,2.6,16.8,
2024-25,Alabama,SEC,SR,G,28,28,31.7,7.1,13.8,.514,1.3,3.4,.375,5.8,10.3,.561,.561,2.8,3.9,.709,1.8,4.6,6.3,3.9,2.0,0.8,3.3,2.4,18.2,
Career,Career,Career,Career,,147,120,25.8,4.3,9.6,.443,1.0,3.0,.329,3.3,6.6,.494,.494,1.7,2.4,.690,1.5,3.4,4.9,2.6,1.5,0.5,2.5,2.3,11.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama (3 Yrs),Alabama (3 Yrs),Alabama (3 Yrs),Alabama (3 Yrs),,92,89,28.3,5.4,11.2,.477,1.0,3.0,.348,4.3,8.3,.524,.523,2.2,3.1,.698,1.7,4.2,5.8,3.0,1.8,0.6,2.9,2.6,13.9,
Georgia (2 Yrs),Georgia (2 Yrs),Georgia (2 Yrs),Georgia (2 Yrs),,55,31,21.5,2.4,7.0,.350,0.9,3.1,.298,1.5,3.9,.391,.415,0.8,1.2,.657,1.2,2.3,3.4,1.9,1.1,0.3,1.9,1.9,6.6,
