Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2017-18,Texas A&M,SEC,FR,G,36,33,33.1,8.3,18.7,.443,1.9,5.0,.383,6.4,13.7,.465,.494,4.2,5.3,.791,0.9,2.8,3.6,4.9,1.9,0.1,3.3,2.8,22.7,
2018-19,Texas A&M,SEC,SO,G,29,29,35.0,8.2,20.4,.403,2.0,5.7,.352,6.2,14.7,.423,.452,4.9,6.8,.717,0.7,4.1,4.8,3.4,1.4,0.2,3.5,2.9,23.3,USBWA-AA-2
2019-20,Texas A&M,SEC,JR,G,23,21,30.6,8.5,18.9,.452,0.9,3.6,.253,7.6,15.3,.499,.476,3.4,4.7,.729,0.7,3.7,4.3,3.5,1.7,0.2,2.8,2.5,21.3,AP-AA-2USBWA-AA-2WBCA-AA
Career,Career,Career,Career,,88,83,33.1,8.3,19.3,.431,1.7,4.9,.346,6.6,14.4,.460,.475,4.2,5.6,.748,0.8,3.4,4.2,4.1,1.7,0.2,3.2,2.8,22.5,
