,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,32,6450,.417,13.1,,.731,.234,.188,.128,.182,.269,,.456,.593,.413,.389,.372,.310,,.496,.862,,.166,.352
2,Chicago Sky*,32,6500,.441,12.5,,.696,.275,.212,.106,.103,.304,,.484,.616,.450,.382,.303,.343,,.651,.888,,.146,.424
3,Connecticut Sun*,32,6450,.444,12.5,,.702,.281,.201,.125,.094,.298,,.482,.631,.423,.354,.330,.356,,.546,.848,,.168,.333
4,Dallas Wings*,32,6450,.420,13.6,,.673,.217,.215,.121,.120,.327,,.451,.622,.392,.343,.358,.354,,.512,.775,,.119,.352
5,Indiana Fever,32,6400,.417,12.8,,.747,.271,.181,.103,.192,.253,,.461,.581,.391,.406,.388,.284,,.541,.809,,.145,.350
6,Los Angeles Sparks,32,6450,.411,14.2,,.694,.198,.242,.121,.134,.306,,.444,.652,.365,.362,.351,.335,,.476,.856,,.141,.385
7,Las Vegas Aces*,32,6475,.472,12.1,,.808,.175,.294,.181,.158,.192,,.495,.665,.505,.387,.411,.375,,.587,.864,,.132,.368
8,Minnesota Lynx*,32,6450,.458,12.8,,.704,.238,.226,.124,.116,.296,,.507,.654,.449,.425,.406,.340,,.597,.907,,.143,.385
9,New York Liberty*,32,6425,.428,14.7,,.580,.191,.216,.078,.096,.420,,.475,.666,.399,.376,.347,.362,,.571,.879,,.171,.441
10,Phoenix Mercury*,32,6450,.450,13.1,,.668,.224,.258,.084,.102,.332,,.501,.619,.484,.384,.381,.346,,.621,.797,,.195,.368
11,Seattle Storm*,32,6525,.450,14.5,,.672,.190,.235,.120,.126,.328,,.484,.668,.442,.370,.396,.380,,.608,.891,,.140,.386
12,Washington Mystics,32,6425,.410,15.0,,.604,.127,.258,.130,.088,.396,,.464,.688,.456,.344,.338,.328,,.552,.882,,.157,.370
,League Average,32,6455,.435,13.4,,.691,.218,.227,.119,.126,.309,,.475,.633,.435,.376,.370,.343,,.564,.856,,.153,.379
