Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,South Carolina,SEC,FR,F,29,0,12.9,1.7,4.0,.417,0.2,0.4,.538,1.4,3.5,.402,.448,1.1,2.1,.541,1.4,2.5,3.9,0.6,0.6,1.1,1.6,2.0,4.7,
2020-21,South Carolina,SEC,SO,F,31,1,17.9,2.6,6.5,.398,0.0,0.3,.000,2.6,6.2,.419,.398,1.6,2.7,.602,2.2,3.3,5.5,0.9,0.7,1.2,2.3,2.1,6.8,
2021-22,South Carolina,SEC,JR,F,31,3,16.8,2.2,5.0,.436,0.2,0.4,.455,2.0,4.7,.434,.452,1.7,2.7,.651,1.5,2.2,3.6,1.2,0.6,0.8,1.8,1.1,6.3,
2022-23,South Carolina,SEC,SR,F,36,0,15.9,2.5,5.2,.487,0.1,0.5,.105,2.5,4.7,.530,.492,2.0,2.9,.670,1.3,2.1,3.4,1.3,0.8,1.1,1.6,1.8,7.1,
Career,Career,Career,Career,,127,4,15.9,2.3,5.2,.436,0.1,0.4,.264,2.1,4.8,.450,.446,1.6,2.6,.625,1.6,2.5,4.1,1.0,0.7,1.0,1.8,1.7,6.3,
