,,,,,,,,Per Game,Per Game,Per Game,Per Game,,Advanced,Advanced
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
1,Indiana Fever,Caitlin Clark,,Iowa,2,53,,34.3,18.5,5.5,8.5,,3.5,.077
2,Los Angeles Sparks,Cameron Brink,,Stanford,2,34,,16.9,6.1,4.8,1.0,,0.5,.037
3,Chicago Sky,Kamilla Cardoso,,South Carolina,2,72,,27.5,11.9,8.3,2.1,,5.4,.108
4,Los Angeles Sparks,Rickea Jackson,,Tennessee,2,78,,29.8,14.0,3.6,1.6,,1.4,.024
5,Dallas Wings,Jacy Sheldon,,Ohio State,2,70,,23.4,6.3,2.0,2.2,,0.1,.003
6,Washington Mystics,Aaliyah Edwards,,UConn,2,70,,18.2,6.5,4.6,1.0,,2.0,.063
7,Chicago Sky,Angel Reese,,LSU,2,64,,32.0,14.1,12.9,2.7,,4.6,.090
8,Minnesota Lynx,Alissa Pili,,Utah,2,41,,5.8,2.3,1.1,0.2,,0.2,.031
9,Dallas Wings,Carla Leite,France,,1,37,,17.2,7.2,1.3,2.0,,0.8,.051
10,Connecticut Sun,Leïla Lacan,France,,1,25,,26.6,10.4,2.4,3.7,,1.2,.070
11,New York Liberty,Marquesha Davis,,Ole Miss,2,31,,4.3,1.1,0.5,0.2,,0.0,-.010
12,Atlanta Dream,Nyadiew Puoch,Australia,,0,,,,,,,,,
13,Chicago Sky,Brynna Maxwell,,Gonzaga,0,,,,,,,,,
14,Seattle Storm,Nika Mühl,,UConn,1,16,,3.6,0.1,0.6,0.4,,-0.2,-.162
15,Indiana Fever,Celeste Taylor,,Ohio State,1,22,,14.9,2.6,1.3,1.3,,-0.4,-.049
16,Las Vegas Aces,Dyaisha Fair,,Syracuse,1,1,,4.0,0.0,0.0,2.0,,0.0,-.333
17,New York Liberty,Esmery Martinez,,Arizona,0,,,,,,,,,
18,Las Vegas Aces,Kate Martin,,Iowa,2,76,,14.2,4.6,2.2,0.9,,0.7,.026
19,Connecticut Sun,Taiyanna Jackson,,Kansas,0,,,,,,,,,
20,Atlanta Dream,Isobel Borlase,Australia,,0,,,,,,,,,
21,Washington Mystics,Kaylynne Truong,,Gonzaga,0,,,,,,,,,
22,Connecticut Sun,Helena Pueyo,,Arizona,0,,,,,,,,,
23,New York Liberty,Jessika Carter,,Mississippi State,1,2,,2.0,0.0,0.0,0.0,,-0.1,-.578
24,Las Vegas Aces,Elizabeth Kitley,,Virginia Tech,1,12,,8.2,1.3,1.4,0.1,,-0.2,-.091
25,Phoenix Mercury,Charisma Osborne,,UCLA,1,2,,5.0,1.0,0.5,0.5,,-0.1,-.248
26,Seattle Storm,Mackenzie Holmes,,Indiana,1,10,,5.8,1.0,0.9,0.2,,0.3,.191
27,Indiana Fever,Leilani Correa,,Florida,0,,,,,,,,,
28,Los Angeles Sparks,McKenzie Forbes,,USC,0,,,,,,,,,
29,Phoenix Mercury,Jaz Shelley,,Nebraska,0,,,,,,,,,
30,Washington Mystics,Nastja Claessens,Belgium,,0,,,,,,,,,
31,Minnesota Lynx,Kiki Jefferson,,Louisville,0,,,,,,,,,
32,Atlanta Dream,Matilde Villa,Italy,,0,,,,,,,,,
33,Dallas Wings,Ashley Owusu,,Penn State,0,,,,,,,,,
34,Connecticut Sun,Abbey Hsu,,Columbia University,0,,,,,,,,,
35,New York Liberty,Kaitlyn Davis,,USC,0,,,,,,,,,
36,Las Vegas Aces,Angel Jackson,,Jackson State University,0,,,,,,,,,
