Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,Stanford,Pac-12,FR,F,32,20,18.3,3.9,6.8,.581,0.3,0.9,.367,3.6,5.8,.615,.606,1.7,2.7,.647,2.2,4.4,6.6,0.9,0.5,2.8,1.3,2.8,9.9,
2021-22,Stanford,Pac-12,SO,F,35,34,21.9,5.4,9.7,.556,0.3,0.9,.355,5.1,8.8,.576,.572,2.4,3.9,.615,2.7,5.4,8.1,1.2,0.9,2.6,1.6,2.8,13.5,AP-AA-3USBWA-AA-3WBCA-AA
2022-23,Stanford,Pac-12,JR,F,34,34,24.8,5.1,10.5,.486,0.3,1.4,.213,4.8,9.1,.528,.500,4.6,5.4,.848,2.4,7.2,9.6,1.8,0.5,3.5,2.4,2.6,15.1,AP-AA-2USBWA-AA-2W-AAWBCA-AA
2023-24,Stanford,Pac-12,SR,F,34,34,25.5,6.3,12.3,.511,0.6,2.0,.304,5.6,10.2,.552,.536,4.2,5.0,.836,2.9,9.0,11.9,2.8,0.8,3.7,2.4,2.8,17.4,AP-AA-1USBWA-AA-1W-AAWBCA-AA
Career,Career,Career,Career,,135,122,22.7,5.2,9.9,.527,0.4,1.3,.299,4.8,8.5,.562,.547,3.2,4.3,.760,2.5,6.5,9.1,1.7,0.7,3.1,1.9,2.7,14.0,
