,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream*,40,8074,.408,12.8,,.715,.228,.225,.136,.124,.285,,.448,.616,.375,.337,.395,.308,,.599,.891,,.210,.288
2,Chicago Sky,40,8000,.422,10.8,,.788,.298,.262,.120,.108,.212,,.449,.587,.377,.358,.344,.323,,.606,.808,,.194,.310
3,Connecticut Sun*,40,8049,.444,11.9,,.727,.267,.262,.110,.089,.273,,.487,.636,.416,.414,.345,.327,,.635,.860,,.181,.300
4,Dallas Wings,40,8074,.446,12.3,,.730,.242,.250,.130,.108,.270,,.490,.668,.443,.337,.383,.326,,.614,.772,,.149,.333
5,Indiana Fever*,40,8024,.456,13.6,,.623,.280,.189,.073,.081,.377,,.517,.622,.478,.375,.372,.356,,.602,.774,,.182,.372
6,Los Angeles Sparks,40,8024,.423,12.8,,.660,.234,.271,.088,.067,.340,,.476,.641,.437,.312,.279,.320,,.622,.927,,.173,.321
7,Las Vegas Aces*,40,8024,.454,14.5,,.612,.114,.297,.117,.084,.388,,.516,.694,.509,.406,.454,.355,,.585,.843,,.242,.359
8,Minnesota Lynx*,40,8074,.448,14.7,,.629,.175,.205,.107,.142,.371,,.488,.662,.399,.429,.444,.380,,.668,.974,,.198,.429
9,New York Liberty*,40,7999,.448,14.5,,.578,.159,.258,.108,.053,.422,,.520,.712,.486,.404,.345,.349,,.657,.911,,.201,.403
10,Phoenix Mercury*,40,8049,.439,14.5,,.606,.173,.248,.096,.089,.394,,.512,.734,.439,.406,.398,.326,,.606,.865,,.179,.316
11,Seattle Storm*,40,8049,.435,12.8,,.705,.202,.278,.131,.094,.295,,.497,.693,.435,.405,.387,.288,,.616,.868,,.170,.301
12,Washington Mystics,40,8049,.433,14.4,,.603,.181,.245,.086,.091,.397,,.477,.685,.378,.478,.332,.366,,.637,.954,,.183,.451
,League Average,40,8041,.438,13.3,,.665,.213,.249,.109,.094,.335,,.488,.654,.432,.386,.379,.338,,.620,.876,,.190,.356
