Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,Syracuse,ACC,FR,C,24,23,23.5,5.5,9.5,.576,0.0,0.0,.000,5.5,9.5,.579,.576,2.6,4.3,.602,3.4,4.6,8.0,0.7,0.6,2.7,1.8,2.7,13.6,
2021-22,South Carolina,SEC,SO,C,32,0,13.3,2.1,3.8,.553,0.0,0.0,,2.1,3.8,.553,.553,1.2,1.7,.717,1.9,3.2,5.1,1.0,0.3,1.4,1.2,1.5,5.4,
2022-23,South Carolina,SEC,JR,C,36,0,18.8,3.8,6.9,.559,0.0,0.0,,3.8,6.9,.559,.559,2.1,3.1,.694,3.7,4.8,8.5,0.9,0.4,1.9,1.1,1.9,9.8,
2023-24,South Carolina,SEC,SR,C,33,32,25.3,5.8,9.8,.594,0.0,0.0,1.000,5.8,9.8,.593,.595,2.6,4.0,.659,3.7,6.0,9.7,2.0,0.6,2.5,1.5,2.0,14.4,AP-AA-2USBWA-AA-1W-AAWBCA-AA
Career,Career,Career,Career,,125,55,20.0,4.2,7.4,.575,0.0,0.0,.500,4.2,7.4,.575,.575,2.1,3.2,.662,3.2,4.7,7.9,1.2,0.5,2.1,1.4,2.0,10.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (3 Yrs),South Carolina (3 Yrs),South Carolina (3 Yrs),South Carolina (3 Yrs),,101,32,19.2,4.0,6.9,.574,0.0,0.0,1.000,3.9,6.9,.573,.575,2.0,2.9,.682,3.1,4.7,7.8,1.3,0.4,2.0,1.3,1.8,9.9,
Syracuse (1 Yr),Syracuse (1 Yr),Syracuse (1 Yr),Syracuse (1 Yr),,24,23,23.5,5.5,9.5,.576,0.0,0.0,.000,5.5,9.5,.579,.576,2.6,4.3,.602,3.4,4.6,8.0,0.7,0.6,2.7,1.8,2.7,13.6,
