Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2016-17,Michigan,Big Ten,FR,G,33,16,27.8,5.3,12.4,.426,2.3,5.3,.429,3.0,7.1,.425,.518,2.1,3.1,.670,0.9,2.7,3.6,2.8,1.2,0.0,2.2,1.8,14.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,West Virginia,Big 12,SO,G,5,4,31.2,4.4,11.8,.373,1.2,5.2,.231,3.2,6.6,.485,.424,3.2,5.0,.640,0.8,2.6,3.4,4.0,2.4,0.2,3.2,1.2,13.2,
2019-20,West Virginia,Big 12,JR,G,26,24,33.0,5.3,14.2,.373,2.2,6.4,.349,3.1,7.8,.392,.451,2.5,3.2,.774,0.7,2.8,3.6,3.2,1.3,0.0,2.1,1.1,15.3,
2020-21,West Virginia,Big 12,SR,G,28,28,37.3,6.6,15.8,.421,2.3,6.3,.364,4.4,9.5,.459,.493,3.9,5.1,.775,0.8,2.1,2.9,4.5,1.7,0.0,2.7,0.9,19.5,
Career,Career,Career,Career,,92,72,32.3,5.7,13.9,.407,2.2,5.9,.374,3.4,8.0,.431,.486,2.8,3.8,.734,0.8,2.6,3.4,3.5,1.4,0.0,2.4,1.3,16.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan (1 Yr),Michigan (1 Yr),Michigan (1 Yr),Michigan (1 Yr),,33,16,27.8,5.3,12.4,.426,2.3,5.3,.429,3.0,7.1,.425,.518,2.1,3.1,.670,0.9,2.7,3.6,2.8,1.2,0.0,2.2,1.8,14.9,
West Virginia (3 Yrs),West Virginia (3 Yrs),West Virginia (3 Yrs),West Virginia (3 Yrs),,59,56,34.9,5.9,14.8,.397,2.2,6.2,.348,3.7,8.5,.433,.471,3.2,4.3,.761,0.8,2.5,3.3,3.8,1.6,0.0,2.5,1.0,17.1,
