Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2021-22,South Carolina,SEC,FR,G,2,0,4.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,
2022-23,South Carolina,SEC,FR,G,36,3,18.7,1.7,4.5,.368,0.4,1.6,.241,1.3,2.9,.438,.411,0.5,0.7,.654,0.6,2.1,2.6,3.4,1.1,0.4,1.4,1.1,4.2,
2023-24,South Carolina,SEC,SO,G,37,35,27.9,3.2,7.3,.443,0.8,2.2,.350,2.5,5.2,.482,.494,0.8,1.3,.612,1.0,4.2,5.2,4.8,2.1,0.2,1.6,1.2,8.1,
2024-25,South Carolina,SEC,JR,G,39,39,24.2,1.9,5.6,.350,0.6,2.0,.295,1.4,3.6,.381,.403,0.4,0.6,.682,1.3,3.2,4.5,2.8,1.4,0.6,1.0,0.9,4.9,
2025-26,South Carolina,SEC,SR,G,40,40,28.7,3.9,8.0,.486,1.0,2.6,.398,2.9,5.5,.528,.550,1.0,1.3,.820,0.8,3.2,4.0,5.1,1.5,0.6,1.6,1.6,9.9,AP-AA-3WBCA-AA
Career,Career,Career,Career,,154,117,24.7,2.7,6.3,.423,0.7,2.1,.332,2.0,4.2,.468,.478,0.7,1.0,.701,0.9,3.1,4.0,4.0,1.5,0.4,1.4,1.2,6.7,
