Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2016-17,Florida St.,ACC,FR,F,5,0,8.2,2.2,4.6,.478,0.2,0.8,.250,2.0,3.8,.526,.500,0.0,0.4,.000,0.4,1.0,1.4,0.4,0.2,0.0,0.8,0.4,4.6,
2017-18,Alabama,SEC,SO,F,24,1,16.0,2.1,5.5,.379,0.6,2.2,.264,1.5,3.3,.456,.432,1.0,1.1,.852,1.4,2.8,4.2,0.6,0.6,0.0,1.5,0.8,5.7,
2018-19,Alabama,SEC,SO,F,31,30,33.1,4.6,11.2,.413,1.6,4.5,.355,3.0,6.7,.452,.484,1.6,2.3,.694,2.3,5.2,7.5,1.1,1.0,0.1,2.5,1.6,12.4,
2019-20,Alabama,SEC,JR,F,30,30,31.2,4.3,10.9,.396,2.1,5.6,.379,2.2,5.2,.414,.494,1.2,1.7,.720,1.7,5.5,7.1,1.1,1.0,0.6,1.9,1.7,11.9,
2020-21,Alabama,SEC,SR,F,27,27,35.8,6.9,15.8,.437,2.9,7.3,.398,4.0,8.5,.470,.528,2.4,2.9,.835,2.4,7.0,9.4,1.5,0.7,0.9,2.5,1.6,19.1,
Career,Career,Career,Career,,117,88,28.7,4.4,10.7,.414,1.8,4.8,.368,2.7,5.9,.452,.496,1.5,2.0,.761,1.9,5.0,6.9,1.1,0.8,0.4,2.1,1.4,12.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama (4 Yrs),Alabama (4 Yrs),Alabama (4 Yrs),Alabama (4 Yrs),,112,88,29.6,4.5,11.0,.413,1.8,5.0,.369,2.7,6.0,.450,.496,1.6,2.0,.768,2.0,5.2,7.2,1.1,0.8,0.4,2.1,1.4,12.5,
Florida State (1 Yr),Florida State (1 Yr),Florida State (1 Yr),Florida State (1 Yr),,5,0,8.2,2.2,4.6,.478,0.2,0.8,.250,2.0,3.8,.526,.500,0.0,0.4,.000,0.4,1.0,1.4,0.4,0.2,0.0,0.8,0.4,4.6,
