Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,Notre Dame,ACC,FR,F,36,34,25.6,5.6,8.6,.652,0.0,0.0,5.6,8.6,.652,.652,2.6,4.2,.605,2.9,5.0,7.9,0.7,1.1,2.5,2.1,2.4,13.8,
2015-16,Notre Dame,ACC,SO,F,29,29,27.0,5.8,9.8,.593,0.0,0.0,5.8,9.8,.593,.593,2.9,4.6,.639,2.3,5.0,7.3,0.9,0.8,3.0,1.4,2.2,14.6,AP-AA-2USBWA-AAWBCA-AA
2016-17,Notre Dame,ACC,JR,F,35,35,28.7,6.5,10.4,.619,0.0,0.0,6.5,10.4,.619,.619,2.4,4.1,.594,2.7,4.4,7.1,1.1,0.8,2.5,1.9,2.1,15.3,AP-AA-2USBWA-AAWBCA-AA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,Notre Dame,ACC,SR,F,39,39,27.9,5.7,9.1,.631,0.0,0.0,5.7,9.1,.631,.631,2.9,4.1,.702,2.7,5.2,7.8,1.6,1.1,2.8,1.5,1.7,14.4,
Career,Career,Career,Career,,139,137,27.3,5.9,9.5,.624,0.0,0.0,5.9,9.5,.624,.624,2.7,4.2,.637,2.6,4.9,7.5,1.1,1.0,2.7,1.7,2.1,14.5,
