Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2021-22,South Carolina,SEC,FR,G,27,0,13.0,0.9,3.6,.245,0.0,1.1,.032,0.9,2.5,.343,.250,0.4,0.9,.500,0.2,1.4,1.6,1.4,0.5,0.5,1.0,1.4,2.3,
2022-23,NC State,ACC,SO,G,31,12,28.0,3.4,7.6,.439,0.5,2.1,.215,2.9,5.5,.523,.468,1.5,2.3,.625,0.7,4.5,5.2,2.9,1.8,1.0,2.3,1.8,8.6,
2023-24,NC State,ACC,JR,G,35,35,35.2,4.3,11.2,.382,0.7,2.7,.260,3.6,8.5,.421,.413,3.2,4.3,.735,0.5,5.5,6.1,3.7,2.1,0.9,2.6,1.5,12.5,
2024-25,NC State,ACC,SR,G,35,35,34.1,4.7,11.3,.419,0.7,2.6,.272,4.0,8.6,.464,.451,1.7,2.5,.674,0.9,5.7,6.6,3.8,1.6,1.3,1.9,1.1,11.9,
Career,Career,Career,Career,,128,82,28.5,3.5,8.8,.395,0.5,2.2,.229,3.0,6.5,.451,.424,1.8,2.6,.679,0.6,4.5,5.1,3.1,1.6,1.0,2.0,1.4,9.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State (3 Yrs),NC State (3 Yrs),NC State (3 Yrs),NC State (3 Yrs),,101,82,32.6,4.1,10.1,.409,0.6,2.5,.253,3.5,7.6,.460,.440,2.1,3.1,.692,0.7,5.3,6.0,3.5,1.9,1.1,2.2,1.5,11.1,
South Carolina (1 Yr),South Carolina (1 Yr),South Carolina (1 Yr),South Carolina (1 Yr),,27,0,13.0,0.9,3.6,.245,0.0,1.1,.032,0.9,2.5,.343,.250,0.4,0.9,.500,0.2,1.4,1.6,1.4,0.5,0.5,1.0,1.4,2.3,
