Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Las Vegas Aces*,32,202.3,33.1,70.2,.472,5.1,13.5,.375,28.1,56.7,.495,17.9,21.9,.819,7.3,31.3,38.6,20.8,6.8,4.6,11.6,14.2,89.3
2,Seattle Storm*,32,203.9,31.0,68.9,.450,8.6,22.6,.380,22.4,46.3,.484,14.2,16.9,.839,7.2,28.4,35.6,21.3,7.5,4.2,12.3,15.5,84.8
3,Chicago Sky*,32,203.1,30.8,69.9,.441,7.3,21.2,.343,23.5,48.7,.484,14.3,17.0,.845,8.3,26.7,34.9,21.8,7.0,4.5,13.8,19.0,83.3
4,Minnesota Lynx*,32,201.6,30.7,67.1,.458,6.8,19.8,.340,23.9,47.2,.507,14.6,17.4,.837,7.3,27.7,34.9,20.4,6.8,4.1,14.0,17.5,82.7
5,Phoenix Mercury*,32,201.6,29.5,65.7,.450,7.5,21.8,.346,22.0,43.9,.501,15.5,19.4,.798,8.0,28.2,36.2,19.7,4.8,5.2,12.8,16.3,82.1
6,Dallas Wings*,32,201.6,29.7,70.7,.420,8.2,23.1,.354,21.5,47.6,.451,13.6,16.4,.829,10.0,26.1,36.1,17.3,6.8,3.9,12.8,18.4,81.1
7,Washington Mystics,32,200.8,28.4,69.2,.410,9.0,27.4,.328,19.4,41.8,.464,14.0,17.4,.808,8.1,25.2,33.3,18.6,6.9,3.1,12.3,17.2,79.8
8,Connecticut Sun*,32,201.6,29.2,65.6,.444,7.0,19.6,.356,22.2,46.1,.482,14.4,17.7,.816,9.7,26.9,36.6,18.0,7.8,3.6,13.9,17.8,79.7
9,Atlanta Dream,32,201.6,30.6,73.5,.417,6.1,19.8,.310,24.5,53.7,.456,11.3,15.7,.720,9.7,24.4,34.1,17.4,8.9,4.6,11.0,18.4,78.7
10,New York Liberty*,32,200.8,28.3,66.1,.428,10.0,27.7,.362,18.2,38.3,.475,11.9,14.7,.813,6.2,27.1,33.3,19.2,6.1,3.8,16.2,17.9,78.5
11,Indiana Fever,32,200.0,28.4,68.2,.417,4.9,17.3,.284,23.5,50.9,.461,13.6,17.0,.800,9.6,24.8,34.3,16.7,6.3,3.8,13.8,17.8,75.3
12,Los Angeles Sparks,32,201.6,27.0,65.8,.411,6.8,20.1,.335,20.3,45.7,.444,11.9,15.6,.766,6.1,23.2,29.3,15.4,8.3,4.2,13.2,19.3,72.8
,League Average,32,201.7,29.7,68.4,.435,7.3,21.2,.343,22.5,47.2,.475,14.0,17.3,.808,8.1,26.7,34.8,18.9,7.0,4.1,13.1,17.4,80.7
