Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
2023-24,LSU,SEC,SO,G,36.0,34.0,32.4,5.6,11.1,0.504,1.0,2.6,0.38,4.6,8.5,0.541,0.548,2.8,3.6,0.769,2.1,3.5,5.5,2.5,2.1,1.0,2.0,2.4,14.9,Flau'jae Johnson
2024-25,LSU,SEC,JR,G,34.0,34.0,31.6,6.9,14.8,0.468,1.4,3.8,0.383,5.5,11.1,0.497,0.517,3.3,4.0,0.81,2.0,3.6,5.6,2.5,1.7,0.9,2.7,2.6,18.6,Flau'jae Johnson
2025-26,LSU,SEC,SR,G,35.0,35.0,25.2,5.4,11.7,0.465,1.4,3.5,0.393,4.1,8.2,0.495,0.523,2.0,2.9,0.693,1.4,2.9,4.2,2.5,1.3,0.7,1.7,1.9,14.2,Flau'jae Johnson
2020-21,Oregon,Pac-12,FR,F,24.0,1.0,12.3,1.5,3.5,0.424,0.2,0.9,0.238,1.3,2.7,0.484,0.453,0.2,0.3,0.833,0.9,3.1,4.0,0.7,0.3,0.3,0.8,0.8,3.4,Angela Dugalic
2021-22,UCLA,Pac-12,FR,F,14.0,0.0,17.0,2.8,6.0,0.464,0.3,0.9,0.333,2.5,5.1,0.486,0.488,0.6,1.5,0.429,1.4,3.1,4.5,0.7,0.9,0.6,1.8,2.7,6.5,Angela Dugalic
2023-24,UCLA,Pac-12,JR,F,30.0,29.0,23.8,3.3,9.4,0.355,1.2,3.9,0.314,2.1,5.5,0.384,0.42,0.8,1.1,0.727,1.7,4.8,6.5,2.1,1.2,0.6,2.4,2.2,8.7,Angela Dugalic
2024-25,UCLA,Big Ten,SR,F,35.0,34.0,21.7,2.7,6.4,0.427,0.9,2.6,0.348,1.8,3.8,0.481,0.498,1.0,1.2,0.814,0.9,4.6,5.5,2.4,1.4,0.8,1.5,1.8,7.4,Angela Dugalic
2025-26,UCLA,Big Ten,SR,F,38.0,3.0,23.8,3.6,7.1,0.502,0.8,2.3,0.326,2.8,4.8,0.588,0.555,1.1,1.4,0.741,1.6,4.0,5.6,2.2,1.1,0.6,1.8,2.0,9.0,Angela Dugalic
2021-22,South Carolina,SEC,FR,G,2.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,Raven Johnson
2022-23,South Carolina,SEC,FR,G,36.0,3.0,18.7,1.7,4.5,0.368,0.4,1.6,0.241,1.3,2.9,0.438,0.411,0.5,0.7,0.654,0.6,2.1,2.6,3.4,1.1,0.4,1.4,1.1,4.2,Raven Johnson
2023-24,South Carolina,SEC,SO,G,37.0,35.0,27.9,3.2,7.3,0.443,0.8,2.2,0.35,2.5,5.2,0.482,0.494,0.8,1.3,0.612,1.0,4.2,5.2,4.8,2.1,0.2,1.6,1.2,8.1,Raven Johnson
2024-25,South Carolina,SEC,JR,G,39.0,39.0,24.2,1.9,5.6,0.35,0.6,2.0,0.295,1.4,3.6,0.381,0.403,0.4,0.6,0.682,1.3,3.2,4.5,2.8,1.4,0.6,1.0,0.9,4.9,Raven Johnson
2025-26,South Carolina,SEC,SR,G,40.0,40.0,28.7,3.9,8.0,0.486,1.0,2.6,0.398,2.9,5.5,0.528,0.55,1.0,1.3,0.82,0.8,3.2,4.0,5.1,1.5,0.6,1.6,1.6,9.9,Raven Johnson
2022-23,Ohio St.,Big Ten,FR,F,36.0,36.0,29.1,5.6,10.9,0.51,0.4,1.6,0.263,5.2,9.4,0.552,0.529,3.5,5.2,0.677,1.2,4.3,5.5,2.4,1.6,0.7,2.9,2.8,15.1,Cotie McMahon
2023-24,Ohio St.,Big Ten,SO,F,32.0,32.0,29.1,5.2,11.3,0.46,0.4,1.9,0.23,4.8,9.4,0.507,0.479,3.6,5.7,0.623,1.4,5.0,6.3,2.1,1.1,0.5,2.5,2.6,14.4,Cotie McMahon
2024-25,Ohio St.,Big Ten,JR,F,29.0,29.0,32.7,6.0,13.4,0.444,1.2,3.1,0.374,4.8,10.3,0.465,0.487,3.4,5.3,0.639,0.8,3.8,4.7,2.1,1.2,0.2,2.3,2.3,16.5,Cotie McMahon
2025-26,Ole Miss,SEC,SR,F,36.0,36.0,30.0,6.8,15.2,0.451,1.0,3.5,0.286,5.8,11.7,0.5,0.484,4.9,6.6,0.735,1.3,3.8,5.1,3.0,1.1,0.4,2.8,2.2,19.5,Cotie McMahon
2024-25,Miss. St.,SEC,JR,F,34.0,34.0,22.6,5.0,7.7,0.649,0.0,0.0,0.0,5.0,7.7,0.649,0.649,1.3,2.1,0.625,3.5,6.0,9.6,0.7,1.4,1.1,2.5,2.6,11.3,Madina Okot
2025-26,South Carolina,SEC,SR,F,39.0,36.0,23.3,5.5,9.5,0.575,0.3,0.7,0.448,5.2,8.8,0.586,0.593,1.5,2.2,0.702,3.8,6.7,10.6,1.0,1.3,1.4,2.1,1.9,12.8,Madina Okot
2022-23,Boston College,ACC,FR,G,33.0,33.0,36.6,4.1,11.3,0.36,1.4,4.8,0.294,2.6,6.4,0.41,0.423,1.6,2.0,0.788,0.6,4.0,4.7,6.6,2.0,0.1,4.2,1.9,11.1,Taina Mair
2023-24,Duke,ACC,SO,G,34.0,34.0,31.1,3.7,9.9,0.375,1.1,4.0,0.285,2.6,5.9,0.437,0.433,1.2,1.4,0.875,0.6,3.2,3.8,3.6,1.5,0.2,2.6,2.0,9.8,Taina Mair
2024-25,Duke,ACC,JR,G,37.0,37.0,24.5,2.8,6.6,0.416,0.9,2.4,0.378,1.8,4.2,0.439,0.486,0.3,0.4,0.688,0.9,2.1,3.0,3.6,1.5,0.2,2.0,1.3,6.7,Taina Mair
2025-26,Duke,ACC,SR,G,36.0,36.0,33.9,4.3,10.4,0.411,1.2,3.5,0.341,3.1,6.9,0.446,0.468,1.9,2.1,0.87,1.6,4.4,5.9,5.6,2.5,0.1,2.7,1.8,11.6,Taina Mair
2021-22,Utah,Pac-12,FR,G,33.0,25.0,23.7,4.2,9.3,0.446,1.7,4.4,0.384,2.5,4.9,0.503,0.537,1.8,2.1,0.871,0.9,3.4,4.4,1.2,0.7,0.4,1.1,1.9,11.8,Gianna Kneepkens
2022-23,Utah,Pac-12,SO,G,32.0,32.0,28.3,5.0,10.0,0.498,2.2,5.3,0.423,2.8,4.8,0.582,0.609,3.1,3.7,0.831,0.7,4.5,5.2,2.1,0.9,0.5,1.6,2.4,15.3,Gianna Kneepkens
2023-24,Utah,Pac-12,JR,G,8.0,8.0,25.1,6.3,9.9,0.633,3.4,6.3,0.54,2.9,3.6,0.793,0.804,1.9,2.4,0.789,0.9,4.6,5.5,3.9,2.0,0.3,2.3,1.6,17.8,Gianna Kneepkens
2024-25,Utah,Big 12,SR,G,31.0,31.0,30.1,6.2,12.3,0.504,3.0,6.8,0.448,3.2,5.5,0.573,0.627,3.9,4.4,0.89,0.8,4.2,5.0,3.0,1.0,0.3,2.4,2.2,19.3,Gianna Kneepkens
2025-26,UCLA,Big Ten,SR,G,38.0,37.0,28.2,4.7,9.6,0.493,2.3,5.3,0.429,2.4,4.2,0.575,0.613,1.1,1.2,0.933,0.7,2.4,3.1,2.9,1.1,0.2,1.2,1.8,12.8,Gianna Kneepkens
