Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,player
2025-26,UCLA,Big Ten,SR,C,37.0,37.0,27.7,7.5,12.8,0.582,0.0,0.1,0.0,7.5,12.8,0.585,0.582,2.2,3.2,0.686,3.5,5.3,8.8,3.2,1.0,2.1,2.2,1.7,17.1,AP-AA-1USBWA-AA-1W-AAWBCA-AA,Lauren Betts
Career,Career,Career,Career,,133.0,98.0,23.7,6.3,10.1,0.619,0.0,0.0,0.0,6.3,10.1,0.62,0.619,2.1,3.3,0.628,3.1,4.6,7.8,1.9,0.7,2.0,1.9,1.4,14.6,,Lauren Betts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lauren Betts
Stanford (1 Yr),Stanford (1 Yr),Stanford (1 Yr),Stanford (1 Yr),,33.0,0.0,9.6,2.4,4.0,0.602,0.0,0.0,,2.4,4.0,0.602,0.602,1.0,1.8,0.567,1.3,2.2,3.5,0.5,0.2,0.9,0.5,0.3,5.9,,Lauren Betts
UCLA (3 Yrs),UCLA (3 Yrs),UCLA (3 Yrs),UCLA (3 Yrs),,100.0,98.0,28.4,7.5,12.1,0.621,0.0,0.0,0.0,7.5,12.1,0.622,0.621,2.4,3.8,0.638,3.7,5.5,9.2,2.4,0.8,2.4,2.4,1.7,17.5,,Lauren Betts
2020-21,Notre Dame,ACC,FR,G,6,0,22.7,4.0,7.8,.511,0.2,1.7,.100,3.8,6.2,.622,.521,1.2,2.5,.467,1.7,2.0,3.7,3.5,1.2,0.2,3.0,2.3,9.3,,Olivia Miles
2021-22,Notre Dame,ACC,FR,G,33,33,33.3,5.4,11.8,.455,1.0,3.7,.270,4.4,8.1,.539,.497,2.0,2.9,.677,0.5,5.2,5.7,7.4,1.8,0.2,3.8,2.1,13.7,,Olivia Miles
2022-23,Notre Dame,ACC,SO,G,28,28,31.6,5.2,11.3,.460,0.6,2.8,.228,4.5,8.4,.538,.489,3.3,4.3,.767,0.4,6.8,7.3,6.9,2.1,0.2,3.3,1.7,14.3,AP-AA-2USBWA-AA-3,Olivia Miles
2023-24,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Olivia Miles
2024-25,Notre Dame,ACC,SR,G,34,34,33.0,5.4,11.1,.483,2.1,5.3,.406,3.2,5.9,.553,.579,2.4,3.1,.790,0.3,5.4,5.6,5.8,1.4,0.2,2.5,1.8,15.4,AP-AA-2USBWA-AA-2W-AA,Olivia Miles
2025-26,TCU,Big 12,SR,G,38,38,35.4,7.1,14.7,.481,1.9,5.5,.351,5.1,9.2,.559,.547,3.6,4.2,.839,0.5,6.7,7.2,6.6,1.8,0.3,3.7,2.1,19.6,AP-AA-2USBWA-AA-2W-AAWBCA-AA,Olivia Miles
Career,Career,Career,Career,,139,133,33.0,5.7,12.1,.472,1.4,4.3,.331,4.3,7.8,.551,.531,2.7,3.6,.769,0.5,5.8,6.3,6.5,1.7,0.2,3.3,2.0,15.6,,Olivia Miles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olivia Miles
Notre Dame (4 Yrs),Notre Dame (4 Yrs),Notre Dame (4 Yrs),Notre Dame (4 Yrs),,101,95,32.1,5.2,11.2,.468,1.2,3.9,.320,4.0,7.3,.547,.523,2.4,3.3,.735,0.5,5.5,6.0,6.5,1.7,0.2,3.2,1.9,14.2,,Olivia Miles
TCU (1 Yr),TCU (1 Yr),TCU (1 Yr),TCU (1 Yr),,38,38,35.4,7.1,14.7,.481,1.9,5.5,.351,5.1,9.2,.559,.547,3.6,4.2,.839,0.5,6.7,7.2,6.6,1.8,0.3,3.7,2.1,19.6,,Olivia Miles
2022-23,LSU,SEC,FR,G,36,36,27.6,3.9,9.3,0.424,0.9,2.9,0.33,3.0,6.4,0.466,0.475,2.2,3.1,0.696,2.1,3.9,5.9,1.9,1.2,0.8,2.3,2.3,11.0,,Flau'jae Johnson
2023-24,LSU,SEC,SO,G,36,34,32.4,5.6,11.1,0.504,1.0,2.6,0.38,4.6,8.5,0.541,0.548,2.8,3.6,0.769,2.1,3.5,5.5,2.5,2.1,1.0,2.0,2.4,14.9,,Flau'jae Johnson
2024-25,LSU,SEC,JR,G,34,34,31.6,6.9,14.8,0.468,1.4,3.8,0.383,5.5,11.1,0.497,0.517,3.3,4.0,0.81,2.0,3.6,5.6,2.5,1.7,0.9,2.7,2.6,18.6,AP-AA-3USBWA-AA-3,Flau'jae Johnson
2025-26,LSU,SEC,SR,G,35,35,25.2,5.4,11.7,0.465,1.4,3.5,0.393,4.1,8.2,0.495,0.523,2.0,2.9,0.693,1.4,2.9,4.2,2.5,1.3,0.7,1.7,1.9,14.2,AP-AA-3USBWA-AA-3W-AA,Flau'jae Johnson
